id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,100,30,92,2022-12-11,0.66,2,246,2,
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,100,1,383,2023-03-12,2.70,6,197,26,
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,,28806,35.57864,-82.59578,Private room,66,1,67,2020-01-01,0.48,6,0,0,
197263,Tranquil Room & Private Bath,961396,Timo,,28806,35.57808,-82.63689,Private room,45,2,66,2022-11-21,0.51,2,88,24,
209068,Terrace Cottage,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,100,30,60,2022-10-31,0.43,1,231,2,
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59635,-82.50655,Private room,68,7,57,2019-10-30,0.41,3,76,0,
259576,"Private, peaceful, and free goat therapy",1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,73,2,766,2023-03-17,5.57,2,49,112,
304379,Refocus Cottage - paradise,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,289,30,24,2019-08-03,0.18,2,243,0,
353092,Athena's Loft:  Find yourself here!,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,69,2,529,2023-01-01,4.54,1,141,14,
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,159,2,47,2021-11-21,0.37,1,354,0,
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",478398,Heidi,,28801,35.60182,-82.56174,Entire home/apt,115,2,364,2023-01-14,2.77,3,68,23,
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28806,35.57025,-82.57429,Entire home/apt,140,1,685,2023-03-17,6.64,1,303,86,
498089,Urban Getaway One Bedroom Apartment Walk Downtown,2164379,Anne Marie,,28801,35.61225509643555,-82.54288482666016,Entire home/apt,119,30,134,2022-01-31,1.02,1,177,0,
