id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
484515,MIAMI- AMAZING APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99377,-80.1183,Entire home/apt,297,7,27,2021-03-19,0.21,6,364,0,
827736378366911479,Legion 1BR/1BA,475630606,Sean,,Fort Lauderdale,26.093936431244156,-80.13759087771177,Entire home/apt,222,1,0,,,1,356,0,
592589963829194972,Club Wyndham Royal Vista,66506549,Ryan,,Pompano Beach,26.22385,-80.09099,Private room,500,1,0,,,5,365,0,
45990221,SPACIOUS 1 BEDROOM DELUXE-Wyndham Palm-Aire Resort,365280298,ResortShare,,Pompano Beach,26.22613,-80.15859,Entire home/apt,162,2,162,2022-10-20,5.50,5,310,59,
11972837,"Palm-Aire, Fort Lauderdale, FL, 2 Bedroom #1",10981379,Jan,,Pompano Beach,26.22622,-80.15871,Entire home/apt,258,1,35,2022-09-06,0.46,23,6,6,
50012514,Hollywood Beachfront Resort with Sky Pool,62269422,Arnold,,Hollywood,26.01754,-80.11555,Private room,127,2,49,2022-09-05,2.20,6,123,12,
772438920837360569,Relaxing 5 Acre Ranch home with private pond!,382318476,Maggie,,Southwest Ranches,26.0338992,-80.3346054,Entire home/apt,500,2,2,2023-01-02,0.65,1,89,2,
53654833,Jacuzzi X 2 near the beach. BBQ & Patio Spa,67343737,Martin,,Oakland Park,26.18449,-80.1259,Entire home/apt,868,3,0,,,4,299,0,
726033042902799178,"Waterfront Villa Close to Beach, Marina, Kayaks",3502605,Maria Elena,,Fort Lauderdale,26.16288,-80.12001,Entire home/apt,1764,3,1,2022-12-12,0.28,4,325,1,
33271346,Beach Escape – One Block from the Beach!,118856968,Steve And Jo,,Pompano Beach,26.22911,-80.0924,Entire home/apt,186,2,129,2023-02-21,2.69,3,345,37,
48030650,"Private Suite # 14, five minutes walk to beach.",131978491,Daniel,,Pompano Beach,26.22588,-80.0917,Entire home/apt,92,2,36,2023-03-03,1.40,15,161,9,
