id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,West Cambridge,42.38258,-71.13646,Entire home/apt,225,2,50,2022-08-28,0.30,2,110,5,C0121120491
11169,Lovely Studio Room: Available for long w/ends,40965,Judy,,North Cambridge,42.3963,-71.13135,Private room,121,3,165,2022-12-30,1.04,3,346,13,
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36258,-71.09603,Private room,205,10,8,2021-09-11,0.05,3,130,0,
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36254,-71.09698,Private room,225,5,20,2023-02-04,0.13,3,139,7,
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,The Port,42.3695,-71.09921,Entire home/apt,300,3,385,2022-08-02,2.66,1,283,12,STR-15661
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.36274,-71.09768,Private room,275,5,22,2022-10-12,0.16,3,156,4,ROT-10694669-006
108898,"""The Treehouse"" :   Elegant living near Harvard",306681,Janet,,West Cambridge,42.38227,-71.13643,Entire home/apt,225,2,34,2022-08-31,0.24,2,258,13,CO121110491
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Riverside,42.3691,-71.11237,Entire home/apt,165,31,54,2021-07-29,0.40,1,212,0,
445407,East Cambridge Apartment,2212429,Jimmy,,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,300,3,64,2022-08-13,0.49,2,61,8,STR-17249
456429,Elegant Airy Comfort. Workspace. Private Entrance.,2244099,Rebecca,,North Cambridge,42.39475,-71.12548,Entire home/apt,339,4,289,2023-03-26,2.20,1,20,18,
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,,East Cambridge,42.37103,-71.07557,Private room,188,91,14,2015-05-28,0.11,1,365,0,
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate,,North Cambridge,42.39346,-71.13137,Entire home/apt,225,2,337,2023-01-05,2.64,1,124,43,C0262370491
742574,See Yourself in Central Square,1152305,Greg,,The Port,42.36545,-71.10268,Entire home/apt,160,30,130,2022-12-25,1.04,2,74,3,
788196,***HARVARD SQUARE***  3 MIN WALK TO TRAIN REDLINE,3668535,Jonas,,Neighborhood Nine,42.3777054,-71.1228332,Entire home/apt,262,2,92,2019-07-21,0.74,4,162,0,C0191060491
860634,Home on quiet street near Harvard,4507945,Deborah,,Agassiz,42.38373,-71.11424,Private room,70,3,490,2023-03-12,4.04,1,26,22,
910408,School Term Housing in Mid Cambridge MA!,4883794,Melissa,,Mid-Cambridge,42.37136,-71.10781,Entire home/apt,100,30,7,2022-05-14,0.06,1,1,1,
1054635,"Sunny, lg 1-br, heart of Cambridge",3087212,Eleanor,,Mid-Cambridge,42.37285,-71.11263,Entire home/apt,130,91,12,2022-12-14,0.10,1,224,2,
1080789,Entire Fabulous home: Available Feb 6 to Mar 6 !,40965,Judy,,North Cambridge,42.39426,-71.13258,Entire home/apt,350,10,0,,,3,327,0,C0169140491
1097262,Harvard/MIT/BU/Central Square Room,6030020,Jason,,Cambridgeport,42.35734,-71.10973,Private room,91,14,48,2023-02-19,0.40,5,345,4,
1140201,"Great Room Near Harvard/MIT/BU, bikes available",6030020,Jason,,Cambridgeport,42.35966,-71.10854,Private room,91,14,77,2023-03-24,0.64,5,303,7,
1141088,MIT/Harvard/Inman- 2 Bedroom Apt.,2530211,Erin,,Wellington-Harrington,42.37324,-71.09635,Entire home/apt,186,2,529,2023-03-28,4.40,1,100,82,STR-14611
