id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3372,Private Guest House with Courtyard.,4307,Eric,,Unincorporated Areas,36.03854,-115.12102,Entire home/apt,92,2,305,2018-03-18,2.13,1,70
31388,Las Vegas MGM Signature Condo,134746,Kim,,Unincorporated Areas,36.1052,-115.16777,Private room,240,2,5,2017-03-09,0.04,1,348
44495,Bedroom with private bath in Southwest Las Vegas,195560,Lenore,,Unincorporated Areas,36.0116,-115.29714,Private room,35,2,43,2020-04-04,0.38,2,89
44701,"Las Vegas Strip, 3 beds/sleep 6 cheaper than hotel",189245,Christine,,Unincorporated Areas,36.11697,-115.16397,Entire home/apt,267,7,2,2020-01-12,0.04,1,242
61643,2BR/2BA Strip View@MGM Signature,181985,Paul,,Unincorporated Areas,36.10641,-115.16691,Entire home/apt,280,3,113,2020-07-14,1.03,5,220
113019,MGM Signature Studio W/ Strip View!,575684,LasVegasSuites,,Unincorporated Areas,36.10731,-115.16467,Entire home/apt,105,2,147,2020-01-23,1.37,14,120
114140,MGM Signature 1BR/2BA Suite W/ View,575684,LasVegasSuites,,Unincorporated Areas,36.1087,-115.16571,Entire home/apt,138,2,120,2020-03-07,4.74,14,126
143096,Furnished Las Vegas House with Pool,694506,Shari,,Unincorporated Areas,36.0515,-115.22581,Entire home/apt,150,2,213,2020-07-19,1.91,1,299
161848,1 B/R Condo 2 miles W. Of The Strip,773999,Ken,,Unincorporated Areas,36.09734,-115.21124,Entire home/apt,92,1,110,2019-09-15,1.11,2,88
173411,COZY CLEAN CUTE - Historic Hip Huntridge  District,304786,Mary-Margaret (Anand),,City of Las Vegas,36.14841,-115.13596,Entire home/apt,65,28,10,2020-04-15,0.09,2,362
200680,"Pool Villa - Pool Table, 15 mins to Strip",981582,Jason & Kevin,,Unincorporated Areas,36.10438,-115.28984,Entire home/apt,442,2,105,2020-08-16,1.00,11,353
201619,Las Vegas Luxury house with pool,974021,Natalie,,Unincorporated Areas,36.07767,-115.2739,Entire home/apt,343,4,81,2020-08-23,0.74,1,338
202452,Las Vegas Excitement/Romantic Stay,991487,Duke,,Unincorporated Areas,36.02031,-115.2739,Entire home/apt,130,2,212,2020-08-26,2.01,1,86
216979,1 Bedroom Condo 2 miles to strip 1 block Orleans,773999,Ken,,Unincorporated Areas,36.09757,-115.21163,Entire home/apt,146,1,19,2020-03-13,0.68,2,88
243305,las Vegas holiday resort 1 week  (51),65714,John,,Unincorporated Areas,36.10808,-115.16878,Entire home/apt,190,7,0,,,1,178
258872,Your home away from home awaits!,1360561,Rosa,,City of Las Vegas,36.15303,-115.14884,Entire home/apt,214,2,193,2020-08-16,1.84,1,175
259375,"Elara by Hilton, Las Vegas, Center Strip",974582,Yiwen,,Unincorporated Areas,36.10857,-115.16933,Private room,199,4,2,2019-01-04,0.02,1,249
290179,17th floor StripView JR Suite @ MGMSig,181985,Paul,,Unincorporated Areas,36.10582,-115.1677,Entire home/apt,119,3,24,2020-08-16,0.23,5,277
