id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
90676,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394,-83.00321,Entire home/apt,198,1,378,2020-07-23,3.53,3,137
543140,Private queen bedroom 1 - N.Campus,2350409,Edward,,Near North/University,40.01243,-83.00986,Private room,47,3,97,2020-06-30,1.00,3,216
591101,The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96086,-82.97968,Private room,80,2,220,2020-07-25,2.27,1,362
681145,2 bed/Safe/Quiet/Clean/Ample Parking/OSU/Laundry,3468444,Vicki,,Near North/University,40.01898,-83.00067,Entire home/apt,90,2,131,2020-02-16,1.38,2,0
923248,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,30,1,218,2020-07-08,2.41,7,359
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,60,1,44,2020-07-11,0.53,7,362
1217678,Comfortable rooms in Clintonville 1,5707733,Russell & Douglas,,Clintonville,40.03828,-83.01838,Private room,75,1,165,2020-07-01,1.91,2,351
1286887,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.947,-82.99074,Entire home/apt,199,3,131,2020-05-28,1.55,1,330
1321192,Downtown! Beautiful Historic Old Oaks Home!,5856018,Luke,,Near South,39.95353,-82.96725,Entire home/apt,235,1,64,2020-03-08,0.77,6,363
1336145,Comfortable rooms in Clintonville 2,5707733,Russell & Douglas,,Clintonville,40.03689,-83.0183,Private room,75,1,131,2020-07-25,1.56,2,351
1520102,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,32,1,43,2020-03-05,0.55,7,356
1534493,Downtown! Private bedroom in Historic Old Oaks!,5856018,Luke,,Near South,39.95194,-82.96636,Private room,49,1,6,2017-11-05,0.08,6,7
1534602,Private Bedroom in Historic Old Oaks! (Downtown),5856018,Luke,,Near South,39.95231,-82.96705,Private room,49,1,15,2017-08-17,0.20,6,7
1763836,Charming 1BR Clintonville Apt (6-mo. min. rental),7785489,Nancy,,Near North/University,40.01796,-83.00267,Entire home/apt,52,180,80,2020-04-05,0.97,3,171
1900779,"Urban Oasis near Short North, OSU, Grandview Yard",9870556,Lisa,,Near North/University,39.98473,-83.01268,Entire home/apt,157,2,19,2019-06-25,0.25,1,279
2031035,Historic Old Oaks Home - Downtown!,5856018,Luke,,Near South,39.95192,-82.96644,Entire home/apt,112,1,18,2018-07-15,0.28,6,0
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743,-83.01669,Entire home/apt,180,2,29,2019-08-14,0.37,3,270
2172026,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.9867,-83.01121,Entire home/apt,140,2,21,2020-03-08,0.27,3,330
2196955,Close to OSU and Riverside Hospital (30day min),11043646,Curt,,West Olentangy,40.02356,-83.03218,Private room,38,30,47,2020-07-18,0.89,2,55
2227278,German Village Getaway,11366166,Tina,,Near South,39.94098,-82.98737,Entire home/apt,250,4,3,2017-10-29,0.06,1,323
2262958,Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98702,-83.01136,Entire home/apt,160,2,33,2020-04-14,0.45,3,331
2284335,Extra Clean  House Close Downtown/OSU,4911015,Natalia,,Clintonville,40.02829,-83.02188,Entire home/apt,69,1,199,2020-07-25,2.54,4,313
2349920,Eclectic Short North Escape w/FREE Parking,10776491,Catherine & Bryan,,Near North/University,39.98617,-83.00371,Entire home/apt,225,2,124,2020-06-28,1.58,5,252
2642205,Comfortable nice Bedroom,13527293,Danny,,Eastland/Brice,39.92098,-82.82189,Private room,50,1,12,2019-10-27,0.22,1,365
3193181,LUXURY LIVING on a budget,16184897,Toya,,South Linden,40.0087,-82.97472,Entire home/apt,70,1,135,2020-04-30,1.81,9,154
