id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69551,-104.92489,Entire home/apt,79,29,120,2022-07-30,1.50,2,364,19,2016-BFN-0004968
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.766414642333984,-105.0020980834961,Entire home/apt,133,30,176,2023-03-05,3.12,3,146,7,2017-BFN-0002177
1223612,Suite of rooms in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73165,-104.97057,Private room,58,29,184,2022-11-04,1.54,3,335,1,
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.52,1,358,0,
1313699,"Platt Park Urban Getaway: entire house, families!",7138728,Ann,,Platt Park,39.68332,-104.97382,Entire home/apt,218,4,24,2022-12-30,0.20,1,1,6,2021-BFN-0003953
4180622,Modern Guest House in Berkeley Lake,5416557,Maureen,,Berkeley,39.77658,-105.04629,Entire home/apt,129,30,239,2021-11-15,2.38,1,89,0,2019-BFN-0005323
4219371,"Newly Renovated 1890 Denver Queen Anne, sleeps 10",11054215,Dawn & Jacob,,Baker,39.71861,-104.99062,Entire home/apt,529,2,69,2021-08-08,0.71,1,0,0,2022-BFN-0004020
1327856,Downtown Oasis with GREAT Outdoor Rooftop!,7206373,Leila And Alex,,Capitol Hill,39.73484,-104.98193,Entire home/apt,139,2,174,2023-02-26,1.49,1,1,12,2016-BFN-0007176
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,56,1,682,2023-03-21,4.00,2,245,40,2021-BFN-0000578
1402409,Spacious 1928 Bungalow near Sloan's Lake.,1382900,Pamela,,West Colfax,39.73995,-105.04053,Entire home/apt,256,3,142,2023-03-20,1.23,1,100,20,2021-BFN-0000150
1529804,Bright & Cosy Studio Near Shops and Restaurants,8157870,Rachel,,Berkeley,39.77863,-105.02618,Entire home/apt,55,1,365,2023-03-12,4.69,2,7,74,2017-BFN-0002746
1581384,2BR - West Highlands Sweet Retreat!,8410190,Deanna,,West Highland,39.76779,-105.05005,Entire home/apt,135,30,82,2023-03-07,0.72,7,230,7,2019-BFN-0000709
1583103,W. Wash Park Artist Bungalow,8428229,Christina,,Speer,39.72088,-104.98371,Entire home/apt,108,29,39,2023-03-04,0.71,1,25,6,347183-070055
