id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40669,Skyy’s Lounge / Cozy,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,Private room,128,3,10,2019-10-12,0.07,1,83,0,
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,Entire home/apt,134,6,159,2023-01-02,1.13,2,336,17,STR20-00055
254245,Minutes to Manhattan and NJ Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71019,-74.06026,Entire home/apt,139,6,121,2023-01-05,0.88,2,317,8,STR20-00055
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329,Entire home/apt,119,2,408,2023-02-20,2.96,11,362,21,
270245,Private room with own bathroom close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,Private room,44,3,283,2023-02-28,2.06,11,312,29,
271255,Large Room with private bathroom min to Manhattan,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71258,-74.06284,Private room,65,2,335,2023-03-05,2.51,11,332,42,
508581,7 MIN TO MANHATTAN - LARGE APT,2506890,Zachary,,Ward E (councilmember James Solomon),40.71979,-74.04549,Entire home/apt,143,28,58,2022-04-30,0.45,1,279,1,
675483,Room & Private Bath~Minutes to NYC!,2259684,Leigh,,Ward E (councilmember James Solomon),40.72268,-74.04251,Private room,98,3,368,2023-03-12,2.87,1,38,33,
810860,Spacious Studio minutes away from NYC,3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72832,-74.06308,Entire home/apt,100,28,4,2022-01-31,0.08,1,230,0,
818075,Lovely Apartment - Easy access to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.73889,-74.05091,Entire home/apt,112,3,159,2022-12-16,1.29,1,211,26,
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire home/apt,83,29,15,2022-12-20,0.18,4,131,3,
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72319,-74.04842,Entire home/apt,80,29,23,2022-08-13,0.29,4,64,3,
971427,Nice Apt -10 minutes to Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,112,5,303,2023-03-18,2.48,2,92,39,
1014258,Top floor apt w deck in Jersey City,5579774,Shannon,,Ward C (councilmember Richard Boggiano),40.73765,-74.04952,Entire home/apt,110,180,10,2022-05-18,0.10,1,240,1,
1276863,Luxury Waterfront Apartment,6949940,Beata,,Ward E (councilmember James Solomon),40.71355,-74.03374,Entire home/apt,135,60,145,2019-09-13,1.22,1,250,0,
1280528,Fantastic room with private bathroom close NYC!,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71225,-74.06496,Private room,63,2,273,2022-12-27,2.30,11,362,31,
1282198,(1) 24/7 Train Station 10 mins Ride to Manhattan,189095873,M,,Ward C (councilmember Richard Boggiano),40.7294,-74.06896,Private room,44,30,74,2022-12-31,0.63,3,360,1,
1560203,modern 1BR with pool 10 mins from Manhattan,5379684,Nathalie,,Ward F (councilmember Jermaine D. Robinson),40.72061,-74.05058,Entire home/apt,130,4,127,2023-03-01,1.10,1,2,4,
1753670,1 furnished room for females only 1 guest,9224138,Zainabe,,Ward B (councilmember Mira Prinz-Arey),40.7292,-74.07133,Private room,80,1,4,2022-12-30,0.94,1,365,4,
1897139,Luxury Furnished 1 Bedroom Apartment Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,329,27,20,2018-08-26,0.19,26,365,0,
1897262,Modern 2 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,499,27,7,2017-09-02,0.08,26,365,0,
2106011,Top Floor 1br Loft 15 Minutes to Manhattan,327230,Nick,,Ward E (councilmember James Solomon),40.72171,-74.0489,Entire home/apt,118,1,2,2023-03-27,2,1,27,2,
2149271,"DWTN Jersey City Art Studio Apt, long term stays",10969148,Colby,,Ward E (councilmember James Solomon),40.72612,-74.04989,Entire home/apt,129,15,25,2023-01-04,0.33,1,365,8,
2168009,2B/2Ba Maximalist Apt Close 2NYC,11061879,Anatalie,,Ward D (councilmember Michael Yun),40.74838,-74.04864,Private room,125,1,0,,,1,352,0,
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.71987,-74.07382,Entire home/apt,129,3,187,2023-02-21,1.71,1,287,32,
2227861,"Cozy Private rm in Jersey City, mins to Manhattan",11369577,Mat,,Ward E (councilmember James Solomon),40.72509,-74.04261,Private room,94,1,34,2023-02-11,0.56,1,107,23,
2243687,Modern 1 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,329,27,5,2016-06-24,0.05,26,365,0,
2243736,Jersey City NJ | Luxury 2 Bedroom Apt w/ Amenities,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,459,27,6,2020-01-01,0.07,26,365,0,
2284989,Historic Brownstone in Jersey City,11672367,Michelle & Michael,,Ward F (councilmember Jermaine D. Robinson),40.71962,-74.0737,Private room,150,2,4,2015-07-20,0.04,1,365,0,
2520640,NYC & Hudson River views (2 BR),12904260,Ramon,,Ward E (councilmember James Solomon),40.7149,-74.03435,Entire home/apt,195,28,5,2021-10-15,0.09,1,0,0,
2662979,Room with private bathroom min to Manhattan,1410590,Magda,,Ward E (councilmember James Solomon),40.72419,-74.05002,Private room,52,29,364,2023-03-10,3.34,11,234,6,
2663502,Big room with private bathroom close to Manhatta,1410590,Magda,,Ward E (councilmember James Solomon),40.7243,-74.05055,Private room,51,29,383,2023-01-02,3.51,11,257,8,
2867497,Private room 201. 10 mins to NYC.,189095873,M,,Ward C (councilmember Richard Boggiano),40.73081,-74.06816,Private room,46,30,49,2020-01-02,0.46,3,360,0,
2879634,Cute private apt Jersey City (NYC area no smoking),14717157,Dana & Guy,,Ward F (councilmember Jermaine D. Robinson),40.71126,-74.06053,Entire home/apt,83,3,263,2023-03-18,2.74,1,43,23,STR20-00090
3193538,Lrg Garden Studio w/Yard Min 30 Night Corp Rental,16186604,Edward,,Ward E (councilmember James Solomon),40.71492,-74.04007,Entire home/apt,95,30,209,2023-03-15,2.29,1,296,6,
3487433,Waterfront Loft - 7 mins to NYC!,16038,Festive,,Ward E (councilmember James Solomon),40.71721,-74.03863,Entire home/apt,375,28,9,2018-08-13,0.10,1,358,0,
3655301,1st Floor Brownstone in Jersey City,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.71869,-74.0675,Entire home/apt,69,29,394,2023-03-01,3.73,2,174,7,
3674016,Downtown loft - steps to NYC! Downtown Jersey City,318287,Cindy,,Ward E (councilmember James Solomon),40.72764,-74.04105,Entire home/apt,149,1,150,2023-01-01,1.42,2,360,15,
4007369,Charming Home (3bd/2ba)(6-8ppl),19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71626,-74.08065,Entire home/apt,115,3,232,2023-03-23,2.29,1,67,26,
