id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,70,1,349,2023-02-26,4.41,1,174,68,
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,43,30,674,2020-03-03,3.99,1,309,0,
421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,261,2,979,2023-03-09,7.46,7,11,65,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,100,2,677,2023-03-16,4.72,1,96,55,
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,262,2,981,2023-03-09,7.48,7,7,72,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,290,2,490,2023-03-14,3.72,7,260,39,
3648549,"Serene, Cozy Getaway; Lipscomb, Vanderbilt,12South",931636,Debby,,District 25,36.10373,-86.79625,Entire home/apt,143,2,141,2022-11-14,1.81,1,0,25,
3686152,12th South Dream Retreat - Family Friendly!,15586733,Neal,,District 17,36.1269,-86.78371,Entire home/apt,395,2,245,2023-03-12,2.35,18,316,31,
258817,"ButterflyRoom-queen room, private bath",22296,Diana,,District 12,36.16249,-86.58988,Private room,39,30,96,2019-12-14,0.70,8,288,0,
3694888,Location! Music Row Gulch Downtown!,18816131,Sean,,District 19,36.15053,-86.78961,Entire home/apt,146,1,537,2023-02-26,5.40,1,248,37,
289242,"MorningstarHouse, monthly room- open Aug 19",22296,Diana,,District 12,36.16102,-86.59207,Private room,33,30,76,2019-01-12,0.56,8,322,0,
3696753,Restrung East Nashville Condo,18830581,Mike & Kate,,District 6,36.17069,-86.75593,Entire home/apt,259,3,347,2023-02-28,3.30,2,124,39,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.22,1,108,0,
319705,"SuperSweetSTUDIO, jacuzzi, open Jan 27",22296,Diana,,District 12,36.16296,-86.59187,Private room,45,30,48,2020-07-03,0.35,8,364,0,
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,314,2,416,2023-03-09,3.22,7,16,36,
3703925,"Charming flat in heart of Nashville, Sylvan Park",441439,Angela,,District 24,36.14127,-86.82559,Entire home/apt,120,1,615,2022-11-18,5.89,4,110,29,
329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,104,2,1251,2023-03-12,9.28,7,92,117,
3704256,Cozy Bungalow,3568608,Anna,,District 6,36.18188,-86.72623,Entire home/apt,60,2,113,2020-02-10,1.53,2,0,0,
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,30,30,53,2022-12-05,0.42,2,130,2,
340081,"MorningstarHouse, monthly single room- open SOON!",22296,Diana,,District 12,36.16128,-86.58986,Private room,32,30,78,2022-09-14,0.58,8,365,1,
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,130,2,434,2022-10-30,3.39,1,118,30,
3710914,Cute Cottage Style East Nashville Home Close To Downtown,10259524,Brady,,District 5,36.18081,-86.77149,Entire home/apt,164,1,695,2023-03-12,6.62,4,224,106,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,96,2,302,2023-03-12,2.30,1,272,22,
674159,"A Clean, Quiet Suite in a Great Neighborhood",3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,132,3,312,2023-03-12,2.51,2,277,27,
5497835,4BR in East Nashville on Greenway,11279036,Kelly And Aron,,District 6,36.16798,-86.72635,Entire home/apt,200,3,22,2022-10-11,0.23,2,0,1,
681880,Luxurious Cozy Guesthouse w/ EV level 2 charger,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,89,1,621,2023-03-19,4.88,1,76,56,
3742359,Five Star Buena Vista East Nashville Loft,13976860,Connie,,District 6,36.16937,-86.73648,Entire home/apt,146,3,328,2023-02-26,3.12,2,313,29,
5523154,Fantastic Location! West End/Vanderbilt/Elliston,11513024,Monika,,District 21,36.14769,-86.80697,Entire home/apt,90,90,3,2022-08-20,0.05,3,304,1,
3760928,Historic Suite in East Nashville,19112532,Angela,,District 6,36.19123,-86.74158,Private room,120,2,326,2022-11-20,3.13,1,109,22,
3789558,Charming and Spacious Home with Backyard Oasis,19451333,Narum,,District 23,36.13111,-86.8813,Entire home/apt,225,3,53,2022-10-23,0.51,4,32,8,
747429,Downtown Great Getaway,2066370,Lisa,,District 21,36.18276,-86.80296,Entire home/apt,389,30,63,2022-08-14,0.50,2,69,1,
5532667,Nashville Cottage at 5 Points,26060758,Alexa,,District 6,36.17887,-86.74927,Entire home/apt,125,1,453,2023-03-05,4.63,1,225,46,
859206,Private Entrance Suite Vandy/Belmnt,1924504,Anne,,District 18,36.12826,-86.79991,Private room,120,2,123,2023-02-20,1.00,1,0,3,
914787,4 Beds *Walk to Downtown Nashville* Pool & Parking,4910520,Amy,,District 19,36.1754,-86.78193,Entire home/apt,219,1,351,2023-03-11,2.88,14,286,61,
3793659,Family Home Downtown Nashville,9633722,Molly,,District 19,36.17136,-86.79406,Entire home/apt,310,2,221,2023-03-19,2.33,2,305,34,
5557887,Walk to Broadway! DT Riverfront condo-Free Coffee!,88959664,Julian,,District 19,36.17572,-86.78225,Entire home/apt,231,2,113,2023-03-13,1.66,45,233,34,
3811909,Modern Cottage East Nashville,11543228,Jess,,District 6,36.18235,-86.72676,Entire home/apt,119,2,355,2023-03-13,3.40,1,22,37,
980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,,District 24,36.144,-86.82827,Private room,250,2,1,2018-03-21,0.02,4,48,0,
1006989,Private Carriage House,1896384,John And Mike,,District 6,36.17509,-86.73581,Entire home/apt,89,2,551,2023-03-19,4.54,1,79,40,
5560170,Kooler Kendall,9154329,Melissa,,District 24,36.13491,-86.8636,Entire home/apt,342,3,45,2022-10-02,0.46,2,253,13,
3867817,"Luxury ""Shabby Chic Dollhouse"" Home~BEST LOCATION!",19969236,Elizabeth,,District 24,36.1221,-86.8422,Entire home/apt,263,30,8,2019-10-31,0.08,1,365,0,
5582584,*WONDERFUL NEW 4 BEDROOM HOME. CLOSE TO DOWNTOWN*,25162776,Frances,,District 5,36.19573,-86.7631,Entire home/apt,649,2,63,2022-11-06,0.67,10,244,18,
3895594,Nature in Music City,20164535,Brian,,District 30,36.07588,-86.71173,Entire home/apt,105,30,0,,,1,0,0,
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21235,-86.70461,Entire home/apt,103,3,235,2023-03-18,1.94,1,0,14,
1206512,Designer's Home in Belmont/12South,3759875,Alayna,,District 18,36.12609,-86.79663,Entire home/apt,750,3,26,2022-11-07,0.22,1,362,1,
5590547,Hip East Nashville - Front Porch,124275854,Alexa,,District 6,36.17847,-86.74711,Entire home/apt,190,2,227,2023-03-12,2.33,3,197,47,
1209395,Music Row Midtown Apartment,6604593,Michael,,District 19,36.14883,-86.79629,Entire home/apt,127,3,209,2022-11-07,1.84,1,263,22,
3905148,Private Entry/1895 Victorian,19204818,"Tom And Wife, Mary",,District 6,36.17377,-86.74145,Private room,118,1,543,2023-03-12,5.22,1,313,82,
5591141,Germantown - 1.7 mi to downtown,28988137,R.C. & Beth,,District 19,36.18102,-86.79417,Entire home/apt,216,1,385,2023-03-17,4.00,1,115,52,
3907104,The Five Points Jewel • Historic + Spacious Gem!,593556,Alece,,District 6,36.175255,-86.75061,Entire home/apt,208,1,179,2023-03-09,1.72,11,278,42,
5612705,Room in Nashville,28835457,Adam,,District 17,36.13103,-86.75416,Private room,130,1,0,,,1,0,0,
1300670,Valentino's Retreat,119023,Dana,,District 10,36.32114,-86.72644,Entire home/apt,135,2,101,2023-02-21,0.86,1,276,28,
5622887,2 New Hope Court Paradise room NS only plz,812128,Patricia And John,,District 12,36.16272,-86.58864,Private room,35,31,12,2022-02-03,0.13,11,103,0,
1428018,Take Time out by the Private Lake at Our Urban Oasis,7679962,Cathryne & David,,District 6,36.17574,-86.72014,Private room,130,2,305,2023-02-18,2.61,1,74,18,
1468175,"Walk to Vandy, Downtown & Music Row - FREE SHUTTLE",7720839,Michelle,,District 19,36.14901,-86.78818,Private room,82,14,140,2018-05-20,1.20,4,0,0,
1469884,Walk to The Gulch -FREE SHUTTLE BUS,7720839,Michelle,,District 17,36.14584,-86.78634,Private room,72,1,76,2017-11-12,0.66,4,0,0,
3912357,Private entry & bath in the Heart of the City.,20264071,Caprisha,,District 19,36.17244,-86.79259,Private room,86,1,334,2023-03-05,3.38,1,199,3,
3952633,Stylish Condo in Trendy 12South,7096686,Meredith,,District 17,36.12385,-86.77719,Entire home/apt,110,27,25,2021-12-19,0.24,2,211,0,
5623567,Spacious Main Suite near Percy Priest Lake NS only,812128,Patricia And John,,District 12,36.16453,-86.58652,Private room,40,30,10,2023-02-05,0.19,11,89,1,
4033107,Cozy Downtown Nashville Room,9081613,Sritha,,District 19,36.16185,-86.78039,Private room,132,1,85,2016-09-13,0.82,1,0,0,
5685029,Stylish East Nashville Getaway,18115633,Nathan,,District 6,36.17277,-86.74586,Entire home/apt,374,2,96,2022-10-29,0.99,1,231,6,
4033674,"Modern Condo & Pool,Downtown Close! BudgetFriendly",14657565,Daphne,,District 17,36.12644,-86.77843,Entire home/apt,86,1,853,2023-02-20,8.36,5,179,99,
1537921,Truly Central Private Cottage,113637,Cynthia,,District 6,36.16794,-86.73759,Entire home/apt,121,2,273,2023-03-11,2.35,1,282,31,
5717222,"Big cozy house w/pool, near airport",29640416,Mark,,District 13,36.14196,-86.6361,Entire home/apt,238,30,240,2022-08-28,2.48,1,179,23,
1546787,Cozy Guesthouse in 12S Neighborhood,6855810,UrbanNashville,,District 18,36.12903,-86.79336,Entire home/apt,105,2,473,2023-03-13,4.28,88,130,46,
1550764,"Private Entry Studio! Wet Bar,King,Bath,5 mins DT!",1684051,Rick,,District 19,36.17231,-86.79252,Entire home/apt,261,2,767,2023-03-14,6.59,7,11,64,
4047679,1BR/1BA Music Row Long-Term Executive Suite,2800334,Kristin,,District 17,36.14275,-86.79487,Entire home/apt,80,30,106,2023-01-28,1.03,2,226,5,
4067086,Urban Art District Abode,9596278,Jacob,,District 17,36.14392,-86.76227,Entire home/apt,145,1,768,2023-02-13,7.41,4,268,70,
5726670,12South Charmer. Guest Cottage ideal for ext. stay,10633841,Emily,,District 17,36.11806,-86.78812,Entire home/apt,70,30,162,2022-07-19,1.74,1,34,4,
4100639,!!RIVERFRONT CONDO WITH POOL*  WALK TO BROADWAY!!,17145199,Brad,,District 19,36.17105,-86.78033,Entire home/apt,139,1,466,2023-03-11,4.69,6,209,88,
1557535,ULITIMATE GIRLS WEEKEND!!! 10 MIN. TO DOWNTOWN!!!!,8291189,John,,District 7,36.22637,-86.70969,Entire home/apt,699,3,77,2023-02-26,0.68,1,293,5,
5756534,Loft Style Studio - CLOSE TO DOWNTOWN NASHVILLE,20691550,Cj,,District 16,36.11753,-86.7344,Private room,65,31,27,2018-03-11,0.41,1,179,0,
1583339,Heart of Historic East Nashville,1567001,Amy,,District 6,36.17833,-86.74426,Entire home/apt,425,2,71,2023-01-01,0.61,4,263,14,
4169295,Belmont 12th South DREAM HOUSE: Top rated home,2275056,Debbie,,District 18,36.12465,-86.79689,Entire home/apt,778,2,93,2023-02-20,0.93,6,331,12,
5759335,Massive Palace Close to Downtown!,18071351,Daniel,,District 19,36.17161,-86.79353,Entire home/apt,729,2,55,2023-03-05,0.57,1,317,13,
1583557,Entire Upstairs-2 Bedroom Private/Owner downstairs,1567001,Amy,,District 6,36.17833,-86.74426,Entire home/apt,160,30,116,2023-02-19,1.00,4,68,8,
5761405,Amazing Master Suite -- Heart of East Nashville,5178185,Joel,,District 6,36.17064,-86.74668,Private room,235,2,53,2022-05-05,0.55,4,227,1,
1584280,Cheapestead Cottage East Nashville,8440705,Carolyn,,District 6,36.17649,-86.74237,Entire home/apt,90,2,378,2023-01-02,3.26,1,172,25,
4170603,"Hip Condo Near 12 South, Vanderbilt, and Downtown!",16831211,Chris,,District 17,36.12609,-86.77792,Entire home/apt,92,2,376,2023-03-16,3.65,1,249,52,
4178988,Award Winning Private Cottage NASHVILLE,457460890,Chloe,,District 6,36.1748,-86.73808,Entire home/apt,139,1,770,2023-03-08,7.50,11,310,86,
5761584,East Nashville Jewel,5178185,Joel,,District 6,36.17229,-86.7457,Private room,120,1,64,2021-09-07,0.78,4,236,0,
5761616,Stay in Style Where the Musicians Live,5178185,Joel,,District 6,36.17111,-86.74583,Entire home/apt,411,1,267,2023-03-06,2.76,4,320,39,
4197716,Scandinavian Style Apartment in Heart of East Nashville,12122804,Cass And Martin,,District 6,36.18111,-86.73229,Entire home/apt,122,1,647,2023-03-17,6.27,2,129,74,
1587240,Charismatic room in East Nashville,1567001,Amy,,District 6,36.17868,-86.74394,Private room,70,30,135,2021-07-22,1.17,4,0,0,
