id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.961,-90.1195,Entire home/apt,70,1,496,2022-04-04,3.16,1,236,8,"22-RSTR-14107, 22-OSTR-14105"
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,150,3,282,2023-02-25,1.92,1,315,28,"21-RSTR-18609, 22-OSTR-20720"
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.96986,-90.05172,Entire home/apt,100,3,576,2023-03-05,3.95,2,232,45,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
79536,FeelAtHomeInNO PrivateApt,428362,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,84,3,611,2023-03-07,4.23,1,31,68,"21-RSTR-18550, 21-OSTR-18392"
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,1,873,2023-02-27,5.99,2,36,69,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford,,Central City,29.93608,-90.07997,Private room,317,2,5,2016-01-01,0.04,8,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.96364,-90.0591,Entire home/apt,145,3,460,2023-02-14,3.21,2,103,37,"22-RSTR-04939, 21-OSTR-03993"
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97264,-90.09992,Entire home/apt,110,30,141,2020-01-04,1.01,1,221,0,17STR-05569
104089,Private Studio in  Unique Historical Home,249527,Lee,,Bywater,29.96559,-90.02802,Private room,85,5,114,2022-06-07,0.79,1,25,5,"20STR-32648, 20-OSTR-08356"
900210,val blu,4806326,Joey,,Freret,29.93552,-90.10923,Entire home/apt,127,30,18,2022-03-13,0.18,4,180,1,
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,1,825,2023-02-22,5.92,2,38,71,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
184478,Northside Bayou Quarters,884946,DJoseph,,Fillmore,30.01387,-90.08049,Private room,199,2,2,2020-02-26,0.05,1,0,0,"19str-24335, 19-OSTR-1234"
900256,Studio Guest Suite near Magazine St,4631626,Darleen,,East Riverside,29.91766,-90.0973,Entire home/apt,195,30,316,2019-11-04,2.58,1,180,0,City registration pending
204998,Hilaire Suite - 2 Bed 2.5 Bath near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,208,30,208,2022-09-05,1.49,4,180,8,"19STR-26370, 19-OSTR-2637"
205008,Muse Suite- Near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,271,30,290,2022-11-01,2.08,4,179,7,"19STR-26373, 19-OSTR-2637"
228560,Boheme de Marigny - Historic Creole Cottage,1192986,Dayna,,Marigny,29.96524,-90.05901,Entire home/apt,475,2,110,2022-11-28,1.18,1,149,20,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
900337,2 Bedroom Suite in Uptown New Orleans,4807949,Judith,,Uptown,29.92074,-90.1069,Entire home/apt,250,2,23,2022-11-28,0.19,1,149,3,"19STR-21729, 20-OSTR-2143"
240258,Maison Marais 2,391462,Georgia,,St. Roch,29.96929,-90.05172,Entire home/apt,96,3,560,2023-03-05,4.04,2,297,42,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
