id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3083,Room #2 @ B-Love's Guest House,3518,Traci,,Prescott,37.80832,-122.293,Private room,65,3,37,2019-08-14,0.52,8,180
5739,Mod Studio,9276,Leah And Gyorgy,,Oakland Ave-Harrison St,37.81503,-122.26212,Entire home/apt,125,6,256,2020-03-02,1.92,1,72
11022,Rockridge Bungalow - Walk to All!,40142,Michelle,,Shafter,37.83771,-122.25191,Entire home/apt,121,3,136,2020-03-23,1.42,2,324
13291,Farmhouse Room,51853,Kendall,,Santa Fe,37.84374,-122.27583,Private room,70,5,61,2019-12-13,0.50,1,0
23637,Share my Charming Home!  (1 person or 1 couple ),93339,Mika,,Montclair,37.82925,-122.20966,Private room,63,7,43,2020-03-20,0.34,1,364
24916,Rockridge Studio w/garden and Patio,98716,Judy,,Piedmont Avenue,37.83326,-122.25033,Entire home/apt,85,30,112,2019-10-31,0.92,2,316
25473,Luxury Flat w/Mediterranean Garden—Upper Rockridge,106078,Lori,,Upper Rockridge,37.83688,-122.23184,Entire home/apt,141,7,18,2018-08-23,0.15,1,0
29521,Sunny Rockridge Home,124220,Kymi,,Shafter,37.83744,-122.25789,Entire home/apt,150,5,35,2020-01-04,0.32,2,41
31573,Rockridge  Craftsman Brown Shingl,98716,Judy,,Piedmont Avenue,37.83302,-122.25023,Entire home/apt,175,2,121,2020-05-30,1.04,2,298
36702,North Oakland craftsman bungalow,119361,Vito,,Bushrod,37.84238,-122.26624,Entire home/apt,125,7,28,2020-03-14,0.23,1,255
43343,Chef's Garden Flat - Easy Access to SF,147060,Jonathan,,Bushrod,37.84466,-122.26414,Entire home/apt,245,4,23,2019-06-24,0.33,2,0
45870,Comfortable Rockridge Guest Room,77555,Vicki,,Rockridge,37.84794,-122.24514,Private room,93,2,43,2019-10-04,0.41,1,365
56645,Spacious Fairytale Bedroom in English Mini Estate,268781,Pam,,Millsmont,37.77757,-122.1818,Private room,45,21,6,2019-05-31,0.16,1,75
82024,Immaculate Rockridge In-law Oakland,445712,Dodie,,Shafter,37.83923,-122.25732,Entire home/apt,109,3,218,2020-04-26,1.94,1,335
85974,Modern Sunny Rockridge Cottage,471600,Ericka,,Shafter,37.84341,-122.25243,Entire home/apt,148,3,229,2020-02-11,2.07,1,0
87259,Paris in Oakland just off Piedmont Ave,478021,Phylis,,Piedmont Avenue,37.82616,-122.25234,Entire home/apt,129,7,26,2020-03-10,0.47,1,198
135004,"Gorgeous,Old World, View House",644952,Kathryn,,Lincoln Highlands,37.80693,-122.20628,Entire home/apt,225,2,1,2015-08-07,0.02,2,351
136250,"Miniature House, Studio Style, SAFE Neighborhood",667229,Mark,,Merriwood,37.83722,-122.2127,Entire home/apt,89,7,9,2020-05-28,0.22,1,275
150527,Live/Work in Artist's Community.,725353,Sage,,South Kennedy Tract,37.77286,-122.23149,Entire home/apt,89,5,5,2018-07-17,0.08,1,0
151422,Walkable Best Area ~ Green Sanctuary w/ porch,729004,Amy,,Adams Point,37.80895,-122.2524,Entire home/apt,108,2,8,2020-03-01,0.12,1,288
151426,3+bedroom/3 bathroom house with a View of Oak & SF,729027,Lindsey,,Golf Links,37.75765,-122.15306,Entire home/apt,230,2,18,2019-05-19,0.17,1,174
155368,Art Filled Oakland Hills Beauty,728977,Susan,,Upper Rockridge,37.84615,-122.23431,Entire home/apt,150,3,267,2020-03-15,2.45,1,339
169599,Charming Garden Oasis 1bd apt.,808353,Marlene,,Millsmont,37.77892,-122.17626,Entire home/apt,75,2,193,2019-12-24,1.79,1,348
200696,Convenient Colorful Sunny Space,11583,Shanna,,Prescott,37.81101,-122.29862,Private room,55,7,24,2016-06-30,0.22,2,0
202426, Charming Berkeley Oakland Border,240781,Rachel,,Bushrod,37.85216,-122.26416,Entire home/apt,83,3,0,,,1,0
208186,"Private room with bath, and cat!",1024552,LaurieAnn,,Cleveland Heights,37.80648,-122.24448,Private room,69,2,263,2019-11-30,2.49,2,354
237270,Lovely Victorian flat 1 blk to BART,1244345,Liesl,,Temescal,37.82988,-122.26436,Entire home/apt,102,2,33,2016-09-07,0.31,1,0
242472,Spacious Suite in Rockridge Home,1272555,Amy,,Shafter,37.84266,-122.25228,Private room,115,2,187,2020-03-03,1.77,3,90
248764,Private & Serene  Montclair/Oakland,1303404,Ted And Stefanie,,Glen Highlands,37.83709,-122.21798,Entire home/apt,120,2,254,2020-05-05,2.47,1,163
253308,Hip Bohemian Artist's Studio,1329994,Nancy,,Oakland Ave-Harrison St,37.82023,-122.25647,Entire home/apt,72,2,436,2020-04-30,4.16,1,349
259865,"Charming 3 bed 1 bath in Oakland,CA",1363773,Tamar,,Trestle Glen,37.81441,-122.23291,Entire home/apt,160,1,4,2015-04-14,0.04,1,0
260659,Super-central Craftsman bungalow w/ hot tub & yard,1367629,Michael,,Golden Gate,37.84343,-122.28659,Entire home/apt,165,7,22,2020-02-18,0.23,1,0
275357,3 bdr+ Piedmont Ave/Piedmont,1436970,Laura,,Piedmont,37.82718,-122.24463,Entire home/apt,185,35,3,2018-07-28,0.04,1,0
302629,"Private Studio, Oakland Hills, Montclair District",1551566,Rachel,,Glen Highlands,37.84398,-122.2219,Entire home/apt,88,3,133,2020-02-13,1.30,1,82
303785,"beautiful 3BR Craftsman, Rockridge",1553283,Aggie,,Rockridge,37.85023,-122.24664,Entire home/apt,200,21,0,,,1,0
315467,"Beautiful Oakland Hills, 4Bd/3Ba, amazing backyard",1097395,Laura & Paul,,Merriwood,37.84007,-122.21092,Entire home/apt,375,3,18,2019-08-18,0.23,1,0
341704,Temescal - 2 Bedroom Craftsman - Great Location,1700817,Jennifer,,Temescal,37.83271,-122.25438,Entire home/apt,135,4,28,2017-12-31,0.28,1,0
342204,Beautiful & Spacious - sleeps 3,1736185,Elena,,Adams Point,37.81069,-122.25524,Entire home/apt,150,21,2,2014-04-12,0.02,1,0
348534,In-Law Apt in the Oakland Hills,1766074,Mike,,Forestland,37.84313,-122.20446,Entire home/apt,105,2,90,2020-04-30,0.95,1,320
349748,Garden Cottage on Tree-Lined Street,1772116,Noel,,Glenview,37.80246,-122.22497,Entire home/apt,99,2,169,2019-09-04,1.67,1,330
352676,Shelter n place n private Temescal cottage,1785828,Rebecca,,Bushrod,37.84053,-122.26523,Entire home/apt,80,1,133,2020-05-29,1.37,1,314
387039,"Quiet Sunny ""Studio"" in Top Fl Flat",1936623,Trevor And Dawna,,Bushrod,37.84283,-122.26617,Private room,69,14,17,2018-06-01,0.17,2,0
387040,Quiet sunny family-sized garden apt,1936623,Trevor And Dawna,,Bushrod,37.84237,-122.26552,Entire home/apt,99,30,8,2015-08-31,0.10,2,167
470028,Landmark Craftsman Mansion,1748565,Foster,,Upper Rockridge,37.85115,-122.23729,Entire home/apt,2500,4,8,2018-04-21,0.11,2,365
480379,"Stylish bungalow near hospitals, freeways & BART",1750414,Angela,,Santa Fe,37.84351,-122.27381,Entire home/apt,125,14,14,2020-04-10,0.30,2,88
486415,Art Deco in the Oakland Hills ,2407132,Jess,,Redwood Heights,37.80112,-122.19014,Entire home/apt,225,7,6,2015-08-07,0.06,1,0
503632,"Private 2BR Rockridge Upper Flat Walk to TJs, BART",1481714,Susie,,Shafter,37.83876,-122.25609,Entire home/apt,135,3,154,2020-02-26,1.59,1,54
504137,Sunny bedroom w/ Tuscan patio view,2486127,Serena,,Sausal Creek,37.79735,-122.21968,Private room,75,7,11,2020-01-04,0.12,1,365
506630,Sunny & Fabulous 4 BR Piedmont / Oakland Home,674777,Chad & Kelly,,Piedmont,37.81785,-122.23522,Entire home/apt,350,5,5,2019-07-29,0.06,1,345
510260,Extra gluten and free bed bugs!,176669,Barbara,,Longfellow,37.83402,-122.27245,Private room,52,1,363,2020-02-10,3.74,1,89
515183,Modern Redwood Oasis in Rockridge,266136,Stephen,,Shafter,37.84249,-122.25654,Entire home/apt,193,4,34,2020-01-02,0.37,1,28
515300,Cozy Room in 107 year old Oakland home!,2537935,Michelle,,Jefferson,37.77819,-122.20976,Private room,40,7,140,2020-03-17,1.61,1,0
518786,Sunny craftsman home in Rockridge,1272555,Amy,,Shafter,37.84177,-122.25495,Entire home/apt,349,3,4,2020-02-14,0.20,3,263
527348,Sweet sunny Oakland garden cottage,627498,Monika,,Toler Heights,37.75538,-122.15894,Entire home/apt,80,3,38,2019-07-15,0.39,2,0
527653,Little Home on the (Urban) Prairie,2104616,Ginger&Lewis,,Bushrod,37.84159,-122.26833,Entire home/apt,99,1,261,2020-05-18,2.68,2,0
529327,Quiet arts and crafts home,2600964,Trisha,,Upper Dimond,37.7976,-122.20008,Entire home/apt,130,2,1,2014-03-15,0.01,1,0
541975,Charming Cozy Canyon Condo ,1905683,Patricia,,Claremont,37.85396,-122.22079,Entire home/apt,2400,365,28,2016-02-23,0.29,1,358
564610,Luxurious Retreat-Berkeley Hills,2776801,Fred,,Claremont,37.85624,-122.22492,Entire home/apt,85,21,24,2020-06-06,0.40,1,300
566065,Live in a Grove of Redwood Trees,2783571,Stella,,Shepherd Canyon,37.83669,-122.18886,Entire home/apt,96,30,27,2020-05-11,0.32,1,76
583395,Montclair Private Garden Studio,2318042,Karen,,Montclair,37.83174,-122.20709,Entire home/apt,89,2,207,2020-02-17,2.16,2,361
597895,Private room (queen bed) with private bathroom!,2765220,Hillary,,Clawson,37.82614,-122.28685,Private room,76,3,218,2019-07-16,2.29,1,0
620731,Grand Piedmont Avenue Gem in Oakland,3075754,Mike,,Piedmont Avenue,37.82286,-122.25306,Entire home/apt,800,3,9,2019-11-22,0.30,2,176
634312,Yellow door studio Oakland Hills,3158871,Gene,,Oakmore,37.80684,-122.20978,Entire home/apt,95,2,240,2020-05-25,2.51,1,352
637155,"fab rockridge apt: new bed & 4K 50"" TV",2334632,George,,Fairview Park,37.84489,-122.25791,Entire home/apt,76,7,30,2019-09-25,0.32,1,363
637367,Lovely! 20 min's from San Francisco,202404,Jenna And Randy,,Santa Fe,37.84625,-122.2771,Private room,79,1,18,2013-06-30,0.19,1,47
637542,Beautiful 1+BD In Laurel/Fruitvale ,528378,Bashir & Heather,,Upper Peralta Creek-Bartlett,37.79028,-122.20809,Entire home/apt,315,3,4,2012-12-29,0.04,2,365
645238,Solar House - Rm 1 of 2,3230988,Emily,,Oakland Ave-Harrison St,37.81638,-122.25949,Private room,90,1,236,2020-02-07,2.52,2,0
646548,Charming Sunny Designer Apartment,3241133,Fay,,Lakeshore,37.81425,-122.24416,Entire home/apt,220,5,26,2017-05-14,0.27,1,362
658574,Amazing pano view of the entire Bay,3321090,Julie,,Montclair,37.83611,-122.2054,Entire home/apt,318,2,0,,,1,0
665674,Urban Retreat-Oakland 1 block away,1910565,Jane And Ed,,Piedmont Avenue,37.82306,-122.2494,Entire home/apt,165,3,150,2020-01-17,1.60,1,300
669183,Lg Master Bdrm Ste in beautiful Piedmont,348493,Linda,,Piedmont Avenue,37.82324,-122.24977,Private room,100,3,74,2019-09-16,0.79,1,316
674934,Luxurious Bedroom Suite,661426,Kemar,,Prescott,37.81261,-122.29907,Private room,135,1,1,2016-08-21,0.02,1,365
683598,Private backyard cottage ,3517305,Chris And Barbara,,Bushrod,37.84257,-122.26597,Private room,55,2,415,2020-02-08,4.41,1,1
695110,Solar House - Rm 2 of 2,3230988,Emily,,Oakland Ave-Harrison St,37.81518,-122.26118,Private room,90,1,226,2019-12-12,2.41,2,180
702642,Lovely 2 Plus BR Home w/Garden,3606912,Anki And Jonathan,,Piedmont Avenue,37.82843,-122.25268,Entire home/apt,195,3,78,2020-01-02,0.86,1,184
