id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22772,Stay-Awhile  at Lovers Pt. Pacific Grv,87827,Amie,,Pacific Grove,36.62258,-121.9168,Entire home/apt,163,29,68,2016-08-01,0.54,1,121
41014,Ocean front 6-bedroom masterpiece,174738,Kirstie,,Pacific Grove,36.63242,-121.93791,Entire home/apt,1200,3,97,2020-01-13,0.86,1,92
44515,Pet-Friendly* Cottage Near Beach for 30+ day stays,195732,Erika & Blake,,Pacific Grove,36.62475,-121.93491,Entire home/apt,188,30,950,2020-06-20,7.77,1,149
1031734,"Top Rated,Ocean View,Spa,Fireplace",227482,Dan,,Pacific Grove,36.60324,-121.92723,Entire home/apt,500,30,236,2020-05-17,2.65,1,311
1721177,Ocean View Townhome at Lover's Pt.,9073236,Barb,,Pacific Grove,36.62367,-121.91559,Entire home/apt,297,30,246,2020-07-30,2.93,2,303
1721186,Beautiful Villa With Ocean View,9073236,Barb,,Pacific Grove,36.62455,-121.9166,Entire home/apt,416,1,179,2020-08-20,2.16,2,326
1909416,John Steinbeck's Cottage 30-Night Minimum Stay,5517174,Kevin & Vicky,,Pacific Grove,36.61458,-121.91033,Entire home/apt,100,30,218,2020-06-15,2.65,1,124
2552934,Aspen Room at Asilomar Beach License # 0450,13070709,Jamie,,Pacific Grove,36.61667,-121.93354,Private room,103,2,142,2020-08-20,1.85,1,331
3029273,Modern Beach House,15429359,Jim,,Pacific Grove,36.63256,-121.92525,Private room,215,1,373,2020-08-15,5.09,1,290
3836973,Lovely House in Pacific Grove (Long term rental),19763195,Paul,,Pacific Grove,36.60527,-121.92805,Entire home/apt,264,30,469,2020-05-28,6.38,1,147
4099680,The Monarch Home - Cozy & Relaxing,5508442,Anne,,Pacific Grove,36.62322,-121.92883,Entire home/apt,125,30,450,2020-04-03,6.38,2,217
4162387,The Little Blue House,14299946,Joy,,Pacific Grove,36.62156,-121.92043,Entire home/apt,180,30,566,2020-05-04,8.02,3,62
4269074,760 Ocean View at Lovers Point Park,22162277,Grace,,Pacific Grove,36.62721,-121.91984,Entire home/apt,591,3,36,2020-07-30,0.51,1,305
4697656,Peaceful in Pacific Grove. Close to beach & town,24285186,Stacey,,Pacific Grove,36.61507,-121.92261,Private room,108,2,49,2017-12-03,0.97,1,0
5185545,Peaceful Cozy Beach Cottage,21424068,Sarah,,Pacific Grove,36.63193,-121.92454,Entire home/apt,194,28,380,2020-05-26,5.68,1,210
5238711,"Penthouses Walk to Beach, 4 Aquarium Passes",14806795,Kristina,,Pacific Grove,36.61945,-121.91409,Entire home/apt,689,3,38,2020-08-23,0.61,2,325
5500336,Little Lighthouse — Ocean views & close to town!,18067665,"Jim,Stacey,Gary,Lynea,Amy&Michael",,Pacific Grove,36.61859,-121.91086,Entire home/apt,232,31,184,2020-08-05,2.76,2,304
5807126,Lighthouse Cottage—Ocean Views & Close to town,18067665,"Jim,Stacey,Gary,Lynea,Amy&Michael",,Pacific Grove,36.61955,-121.90999,Entire home/apt,349,31,283,2020-07-29,4.39,2,290
5860442,Pacific Grove Craftsman Getaway with Breakfast,22064531,David And Kelly,,Pacific Grove,36.61584,-121.91631,Private room,151,1,592,2020-03-15,9.10,1,241
6410088,Walk to Asilomar,4622744,Ahnalisa,,Pacific Grove,36.62505,-121.92662,Entire home/apt,120,30,107,2020-04-01,1.69,1,0
6646306,Peaceful Space near DLI + Cannery Row,33787736,Seth + Wendy,,Pacific Grove,36.61494,-121.91549,Private room,122,30,235,2020-07-07,3.69,1,88
6715036,Rustic Cottage Home Pacific Grove(LIC#0443),35157242,Toni,,Pacific Grove,36.59976,-121.93263,Entire home/apt,246,2,24,2020-08-24,1.89,1,321
7104624,Heritage Home,37223357,Jeff &. Carol,,Pacific Grove,36.62171,-121.92175,Entire home/apt,195,30,16,2018-03-30,0.26,1,0
7292129,"~Charming Cottage, Walk to town & Beaches~",14806795,Kristina,,Pacific Grove,36.62134,-121.92599,Entire home/apt,175,29,88,2020-04-15,1.43,2,331
7294289,Driftwood Cottage,14299946,Joy,,Pacific Grove,36.62143,-121.92013,Entire home/apt,85,31,127,2017-11-11,2.04,3,305
7462535,#JewelboxCottages*Courtyard*Firepit*Pergola*Grill*,8334086,Mel,,Pacific Grove,36.61617,-121.91343,Entire home/apt,228,30,126,2020-04-01,2.05,1,147
7836291,Victorian Retreat,41275685,Carol,,Pacific Grove,36.614,-121.91174,Private room,200,30,0,,,1,88
9574239,COMFORTABLE HISTORIC COTTAGE,43389940,Elizabeth,,Pacific Grove,36.62214,-121.92687,Entire home/apt,198,30,266,2019-03-31,4.58,3,0
10204512,Gable Room - Seven Gables Boutique Hotel,46785054,Seven Gables,,Pacific Grove,36.62417,-121.91495,Private room,302,1,9,2020-02-26,0.16,14,309
11210583,Bungalow-by-the-Sea,58388459,Michele,,Pacific Grove,36.62399,-121.92089,Entire home/apt,383,3,94,2020-08-21,1.91,2,342
11256490,Historic Stylish Beach House,29370567,Wendi,,Pacific Grove,36.62154,-121.915,Entire home/apt,251,30,154,2020-03-03,2.85,1,335
11533508,Steps away from Lover's Point beach,60832361,Terre,,Pacific Grove,36.62571,-121.9174,Entire home/apt,112,30,144,2020-08-18,2.76,1,27
11562419,Beautiful Home Beach/Forest Area,61071397,Richard,,Pacific Grove,36.62111,-121.92793,Entire home/apt,135,31,106,2020-07-21,2.06,1,324
11641733,Comfortable Home near Pebble Beach & Asilomar,8292488,Abby,,Pacific Grove,36.60432,-121.92774,Entire home/apt,305,2,43,2019-10-20,0.82,1,0
12027823,1/2 Block to Ocean-Sea View Cottage: 2 Bedroom House - Seven Gables Boutique Hotel,46785054,Seven Gables,,Pacific Grove,36.62359,-121.91602,Entire home/apt,526,1,16,2020-08-18,0.32,14,293
13004268,Nice 1 bedroom apt with pool,71239308,Belle,,Pacific Grove,36.60612,-121.92478,Entire home/apt,89,49,0,,,1,358
13261592,Bright Family Home Near Asilomar Beach & Park 0318,54293045,Amy,,Pacific Grove,36.61622,-121.92902,Entire home/apt,80,2,7,2017-09-16,0.14,1,0
13328382,Chautauqua Room - Seven Gables Boutique Hotel-ADA Room,46785054,Seven Gables,,Pacific Grove,36.62308,-121.91653,Private room,260,1,16,2020-08-28,0.33,14,321
13428610,Romantic Private  Master Suite & Gardens #0427,22933425,Jeanne,,Pacific Grove,36.63415,-121.92424,Private room,276,2,28,2020-02-17,0.56,1,286
13768901,Quaint Pacific Grove/Pebble Beach,11486908,Elaine,,Pacific Grove,36.61561,-121.9253,Private room,106,1,494,2020-08-30,9.73,1,333
13902577,Charming Victorian Home Near Beach,82415359,Wilson,,Pacific Grove,36.62533,-121.91879,Entire home/apt,398,2,88,2020-08-23,1.78,1,134
14266085,Cottage Retreat Steps from the Sea,10851823,Viveca And Jim,,Pacific Grove,36.6221,-121.91186,Entire home/apt,282,1,296,2020-08-24,5.95,1,292
14388930,Guest House 5 minutes to Asilomar and Pebble Beach,14882503,Richard,,Pacific Grove,36.62257,-121.93442,Entire home/apt,195,3,53,2020-02-09,1.23,1,241
14403615,Dolphin House *30 day minimum stay* great location,88554111,Beverlee,,Pacific Grove,36.61868,-121.91081,Entire home/apt,135,30,114,2020-07-27,2.32,1,70
14539067,Pacific Grove/Pebble Beach/Monterey/Carmel,85355446,Dee,,Pacific Grove,36.62707,-121.93199,Entire home/apt,300,2,186,2020-03-08,3.79,1,0
15165034,No shared space! Private room/bathroom! PGLic#0405,35048383,Josh And Angi,,Pacific Grove,36.60383,-121.9271,Entire home/apt,126,1,494,2020-08-16,10.51,1,347
