id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.56488,-122.63418,Entire home/apt,80,3,617,2022-07-31,3.85,1,0,24,14-218887-000-00-HO
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52564,-122.68273,Entire home/apt,140,30,130,2022-08-20,0.84,1,159,3,
61677,Huge Peaceful Double Room w Charm: upstairs Reed.,298438,Deborah,,Reed,45.48784,-122.62806,Private room,67,4,124,2023-03-11,0.84,1,165,9,City registration pending
61893,Perfect Portland Place,300391,Matt,,Goose Hollow,45.52258,-122.69955,Entire home/apt,120,30,21,2022-10-31,0.27,1,118,5,
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53103,-122.64448,Entire home/apt,425,4,42,2023-02-12,0.29,1,325,11,Exempt
77522,"Charming suite in Eastmoreland, Hot Tub, Dogs Ok",345461,Diane,,Eastmoreland,45.47086,-122.63273,Entire home/apt,103,2,102,2023-03-13,0.75,1,161,16,14-227531-000-00-HO
80357,Free Standing Alley House with Garage,415758,Esther,,Sullivan's Gulch,45.53364,-122.63895,Entire home/apt,100,31,8,2022-12-16,0.06,2,326,4,709057
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.55536,-122.65106,Private room,39,30,65,2022-04-04,0.47,9,339,1,
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.53836,-122.65159,Entire home/apt,204,1,271,2023-02-20,2.00,2,242,39,Exempt
114086,Bright Friendly Home- Alberta Arts,501715,Teresa,,Sabin,45.55593,-122.65029,Private room,36,30,69,2023-02-01,0.48,9,171,2,
117969,Beautiful Newly-Remodeled Apartment,589016,Steve,,Richmond,45.51022,-122.63088,Entire home/apt,86,2,304,2023-02-20,3.19,1,120,37,City registration pending
134282,Daylight Foodie's Paradise & Everyone's Fun Zone,659137,Anjali,,Boise,45.55273,-122.67524,Entire home/apt,90,31,35,2018-01-14,0.25,2,87,0,
143483,Garden Hideaway near City Center!,523311,Mark,,Irvington,45.54005,-122.64988,Entire home/apt,109,1,160,2023-02-19,1.16,2,296,14,City registration pending
145199,"Upstairs, studio with bath, fridge",683139,Amy,,Montavilla,45.52959,-122.59081,Private room,75,3,82,2022-08-07,0.57,1,341,7,City registration pending
182450,"Luminous, Cosy Home near lively SE Division Street",52505,Judy,,Richmond,45.50529,-122.63201,Entire home/apt,90,5,32,2022-12-28,0.25,2,33,5,14-212846-000-00-HO
182465,Great Breakfast next to lively Division St,52505,Judy,,Richmond,45.50582,-122.63389,Private room,50,2,320,2020-02-23,2.26,2,19,0,14-212846-000-00-HO
