id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10262,Secluded 1750's home on 46 acres,35244,Paula,Providence,Glocester,41.86617,-71.72344,Private room,65,1,37,2017-08-31,0.34,1,1,0,
15373,Adorable Beach Cottage Scarborough Beach RI,60209,Brian,Washington,Narragansett,41.39375,-71.47447,Entire home/apt,475,7,6,2021-08-05,0.18,1,228,0,205978
50791,ARMORY/WESTSIDE - Victorian on the park,233834,Martina,Providence,Providence,41.81571,-71.43059,Entire home/apt,185,2,83,2022-10-29,0.55,3,272,12,
50817,Sanctuary in the Suburbs,233965,Nancy,Providence,Pawtucket,41.88613,-71.35373,Entire home/apt,93,3,156,2022-11-18,1.03,1,226,7,202912
51583,Bedroom In a large Victorian Home,237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,63,2,416,2022-07-25,2.75,6,58,12,
54963,"ARMORY/WESTSIDE on the park, PRIVATE BATH",233834,Martina,Providence,Providence,41.81476,-71.43165,Private room,75,2,116,2023-01-31,0.77,3,273,4,
55417,Studio Apartment in a Historic House,236166,Marie,Providence,Providence,41.82236,-71.40044,Entire home/apt,103,2,43,2022-08-28,0.29,4,58,21,
55464,Narrow River Waterfront kayaks paddleboards canoe,262000,Kathy,Washington,South Kingstown,41.46965,-71.44939,Entire home/apt,400,1,113,2023-03-11,0.86,1,289,12,212092
84167,Great Apartment in East Providence,148703,Michael,Providence,East Providence,41.82809,-71.37655,Entire home/apt,128,2,440,2023-02-12,3.03,2,216,39,"STR-23-4, RE.00545-STR"
106617,Charming Guest House on Sakonnet Point,357017,Catherine,Newport,Little Compton,41.47564,-71.17908,Entire home/apt,360,7,60,2022-08-13,0.42,1,299,5,
111464,Tiverton 4 Corners Schoolhouse No.1,570818,Kristin,Newport,Tiverton,41.56512,-71.18682,Entire home/apt,271,2,199,2023-02-26,1.38,8,275,18,RE.01075-STR
152851,Garden Apt Downtown on Thames st.,735167,Patricia,Newport,Newport,41.49294,-71.31524,Private room,275,2,68,2022-09-05,0.48,3,91,10,
158239,Rose Suite,735167,Patricia,Newport,Newport,41.49268,-71.3164,Private room,250,2,88,2022-10-24,0.67,3,278,19,
158240,Blue Suite,735167,Patricia,Newport,Newport,41.49228,-71.31454,Private room,250,2,87,2022-10-23,0.66,3,297,18,
271436,"Conanicut Is., In-Town 2",1420000,John,Newport,Jamestown,41.49668,-71.37645,Entire home/apt,800,4,53,2019-10-14,0.41,2,152,0,
290088,across street from private beach,1505626,Steve,Washington,Narragansett,41.49921,-71.44592,Entire home/apt,214,7,1,2013-03-22,0.01,1,0,0,
345617,Downtown Center Newport Apartment,1644425,Nicholas,Newport,Newport,41.48867,-71.30288,Entire home/apt,369,31,93,2022-09-04,1.01,3,358,4,
345618,Downtown Mansion Near Beach-Last minute deals,1644425,Nicholas,Newport,Newport,41.48603,-71.30499,Entire home/apt,3714,31,28,2022-09-18,0.23,3,362,1,
393859,"Charming, Impeccable 1B Condo",1969219,Jeffrey,Newport,Newport,41.49371,-71.30694,Entire home/apt,80,30,50,2022-10-23,0.52,1,317,20,
401316,"Adorable, Artsy Victorian with a Claw Foot Tub",2003135,Amanda,Providence,Providence,41.81643,-71.43743,Entire home/apt,103,2,100,2021-03-01,0.77,1,0,0,
416234,"""Super Sleep-Over"" in Newport - unlimited.",565135,Pamela,Newport,Newport,41.4689,-71.31447,Private room,100,1,247,2023-02-19,1.86,2,286,26,
422731,"Private ,comfy,BNB,in Victorian",237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,71,2,408,2023-03-19,3.09,6,263,26,1424
425434,Beautiful Victorian in Newport,2115279,Michael,Newport,Newport,41.49403,-71.30875,Private room,127,2,315,2022-11-14,3.38,1,141,32,
438794,"Narragansett-Middlebridge,Narrow R.",2082880,Laura,Washington,South Kingstown,41.45906,-71.45302,Entire home/apt,165,6,57,2021-08-29,0.44,1,0,0,
457581,"Bright & Spacious Room, Charming Cape",1577918,Greg,Providence,Providence,41.80951,-71.45675,Private room,65,1,60,2022-10-23,0.47,2,131,9,
508240,"Summer Rental in Bonnet Shores,RI",2504818,John,Washington,Narragansett,41.48494,-71.43379,Entire home/apt,350,3,60,2022-08-14,0.63,1,191,8,201901
543501,Beautiful 3 Bedroom Home - Just Steps from the Beach!,2672012,Joan,Washington,Narragansett,41.43275451660156,-71.45790100097656,Entire home/apt,572,30,1,2016-07-15,0.01,10,92,0,
553419,Newport Wyndham Inn on the Harbor,2719491,Shirley,Newport,Newport,41.4842,-71.31451,Entire home/apt,229,2,7,2022-06-25,0.10,2,81,2,
569512,Rustic Private Island Cabin on Lake,1613893,Dorothy,Providence,Glocester,41.92587,-71.71221,Entire home/apt,349,1,131,2022-10-10,1.02,1,358,9,RE 02023-STR
573164,Amazing 3 Bedroom Beach House - Walking Distance to the Ocean and Restaurants!,2672012,Joan,Washington,Narragansett,41.42602,-71.4666,Entire home/apt,368,2,31,2022-09-04,0.24,10,69,10,
577322,Farm on the Coast - Near Newport,2839205,Mo,Washington,North Kingstown,41.50429,-71.42515,Entire home/apt,190,4,554,2022-11-27,4.25,4,155,30,
584884,"3 Bedroom Summer House, Steps from the Ocean",2672012,Joan,Washington,Narragansett,41.39967,-71.47008,Entire home/apt,334,2,22,2022-07-09,0.17,10,51,4,
697241,"LargeRoom, Great Area, NearColleges",3571844,Pat,Providence,Providence,41.8472,-71.3977,Private room,66,2,263,2023-01-15,2.06,1,295,27,RE.01563
710196,Cozy Boho Apt in Historic Waterfront Village,2982802,Paula,Bristol,Warren,41.7276,-71.28333,Entire home/apt,104,7,200,2023-02-04,1.57,1,168,6,
715524,Private Room in Gr8 Npt Neighborhood 30 day min.,3686343,Ray,Newport,Newport,41.49734,-71.31884,Private room,38,60,62,2021-10-10,0.57,6,219,0,
733149,Private Cottage Tucked Away into Nature - A True Narragansett Gem!,2672012,Joan,Washington,Narragansett,41.42422,-71.48142,Entire home/apt,280,2,21,2022-09-04,0.17,10,78,4,
753812,"Charming Cape Cod, Bright, 6 Bedrooms, Deck, Yard",146281658,Brodie,Providence,Providence,41.80951,-71.45675,Entire home/apt,525,3,10,2022-09-05,0.22,3,186,7,
884639,18 Church Street - RI lic#RE.00620-STR,4686288,Beth,Bristol,Bristol,41.66751,-71.27554,Entire home/apt,300,2,49,2022-11-27,0.46,1,107,10,RE.00620-STR
901270,Center Rd Apartments Block Island,4079479,Arnie,Washington,New Shoreham,41.17181,-71.57924,Entire home/apt,491,1,75,2022-09-25,0.63,2,161,11,RE.02338-STR
902272,Block Island Studio Apartment,4079479,Arnie,Washington,New Shoreham,41.17239,-71.57829,Entire home/apt,324,2,88,2022-08-14,0.74,2,112,6,RE.02338-STR
926895,"Goat farm on a lake close to Westerly, RI beaches",3096010,Marsha,Washington,Hopkinton,41.46061,-71.75708,Entire home/apt,141,2,165,2022-10-23,1.36,1,232,30,
931449,"Plum Beach, North Kingstown RI",5015101,Todd & Ann,Washington,North Kingstown,41.52467,-71.41669,Private room,130,1,197,2023-01-15,1.62,1,140,36,00070-STR
935163,"Liverpool Villa, Newport's Finest",5045558,Steve,Newport,Newport,41.46674,-71.31514,Entire home/apt,175,2,320,2022-11-07,2.69,1,117,32,RE.02287-STR
937586,"Fantastic One Bedroom Apartment,ful",237379,Chip,Providence,Providence,41.81244,-71.42076,Entire home/apt,102,2,345,2023-03-12,2.88,6,141,34,1504
1015306,Amazing 2 Bedroom Beach House,2672012,Joan,Washington,Narragansett,41.42695,-71.46669,Entire home/apt,284,2,18,2022-09-04,0.19,10,87,7,
1015915,"Book a room in a Boutique, luxury   B&B",5590351,Sarah,Newport,Newport,41.49044,-71.32091,Private room,450,2,12,2022-07-24,0.17,4,178,3,2-0326-7604
1080367,"Renovated Farmhouse with kayaks,  Salt Pond access",5942557,Joanne,Washington,South Kingstown,41.42794,-71.50069,Entire home/apt,73,90,26,2019-08-21,0.22,1,29,0,
1085953,Quiet Rural and near Fogland Beach,5969152,Michael,Newport,Tiverton,41.55386,-71.20871,Entire home/apt,266,6,0,,,1,218,0,
1127578,Walk to Beach from cottage. Beautiful gardens.,6186452,Paul & Trisha,Newport,Middletown,41.49238,-71.28395,Entire home/apt,229,3,72,2022-07-02,0.61,6,114,8,
1213883,East Side Private Apt walk to Brown,5818227,Heatheran,Providence,Providence,41.82305,-71.3953,Entire home/apt,132,2,224,2023-02-28,1.88,2,325,10,
1214162,Large Art Deco 2 bed apt great neighborhood!,5818227,Heatheran,Providence,Providence,41.82472,-71.39208,Entire home/apt,146,2,107,2023-03-18,0.90,2,252,25,
1238944,"Scarborough Beach, Narragansett RI",411564958,Doniell,Washington,Narragansett,41.38741,-71.47767,Entire home/apt,395,2,60,2022-10-30,0.56,1,236,19,RE.00755-STR
1247998,Studio Space on the Point (30 Day Minimum),3686343,Ray,Newport,Newport,41.49749,-71.32009,Entire home/apt,59,30,41,2022-07-31,0.38,6,304,1,
1255437,Paradise Bayside Retreat,6838503,Kelli,Kent,Warwick,41.68856,-71.43711,Entire home/apt,239,2,0,,,1,92,0,
1271132,Rustic Jamestown Home,4603646,Bertrand,Newport,Jamestown,41.49509,-71.36829,Entire home/apt,289,4,79,2022-09-18,0.68,1,35,6,RE.01644-STR
1284822,"Private Bedroom and Bath, Lounge",2333812,Billie,Newport,Newport,41.50062,-71.29901,Private room,143,2,128,2021-08-01,1.08,2,151,0,
1331208,Moondance Lane-Narragansett Pier-2 bedroom apt.,7220843,Kim,Washington,Narragansett,41.42096,-71.46004,Entire home/apt,200,3,232,2022-08-01,1.96,1,26,5,
1362681,Central Downtown Newport House,7396890,Karen,Newport,Newport,41.48754,-71.31238,Entire home/apt,342,2,322,2023-03-12,2.74,4,320,32,RE.01018-STR
1412991,Artist Home in Historic Elmwood,7617153,Tracy,Providence,Providence,41.80101,-71.42593,Private room,80,2,94,2019-12-01,0.88,1,273,0,
1442426,"3 Bedroom Family Beach House, 1 Mile to Ocean!",2672012,Joan,Washington,Narragansett,41.42601,-71.47098,Entire home/apt,377,2,14,2022-12-14,0.15,10,78,5,
1539229,Island Retreat near Newport,8205689,Pamela,Newport,Jamestown,41.53981,-71.37668,Entire home/apt,191,2,243,2022-11-17,2.96,8,243,25,204836
1546551,"Studio B, downtown studio apartment with parking",8241741,Brennan,Newport,Newport,41.47956,-71.31116,Entire home/apt,328,1,234,2022-09-05,2.00,2,0,15,RE.01722-STR
