id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
199568,Garden studio apt,974919,Sara,,Ward 1,44.95196,-123.05627,Entire home/apt,95,3,192,2023-01-30,1.36,1,58,19,
5021839,Southtown Cottage,25909376,Sean,,Ward 7,44.91029,-123.04691,Entire home/apt,120,3,3,2023-03-24,0.85,1,8,3,
7293821,Chauffeurs Room @ the Villa,38202007,Julie,,Ward 7,44.92484,-123.0499,Entire home/apt,105,2,387,2023-03-18,4.13,1,70,28,
8524259,Single room in Comfort Home,2421461,Nancy,,Ward 7,44.89105,-123.06843,Private room,65,1,3,2021-04-21,0.04,2,296,0,
8698684,Charming 1925 Craftsman centrally located!,3208932,Christy,,Ward 2,44.93305,-123.01985,Entire home/apt,225,3,89,2023-01-01,1.01,3,0,8,
9238563,Spacious Suite w/ Private Sauna and AC in City,48017737,Steve & Robin,,Ward 1,44.95434,-123.05679,Entire home/apt,100,2,395,2023-03-17,4.43,1,120,28,
9477671,Stylish Private Urban Guest House,14797761,Leigh,,Ward 1,44.95668,-123.02635,Entire home/apt,91,1,643,2023-03-19,7.96,1,52,86,
9597053,Spacious home near downtown Salem,18810608,Karen,,Ward 1,44.95171,-123.04056,Entire home/apt,79,3,232,2023-02-23,2.64,1,102,17,
10074172,Relax in a  Quiet Peaceful Historic House,51689419,Nick,,Ward 1,44.94404,-123.0128,Private room,79,1,162,2022-07-17,1.85,4,179,5,
11362008,Central Salem - Travel Inspired King Room (+ desk),3208932,Christy,,Ward 2,44.93135,-123.02125,Private room,45,1,478,2023-03-22,5.65,3,132,87,
12588161,Home away from home,68279432,Sharon,,Ward 2,44.91015,-123.03455,Private room,40,5,77,2023-01-30,0.92,1,315,13,
12892550,Peaceful Room in Salem Historic Neighborhood,972844,Julia,,Ward 1,44.94406,-123.01257,Private room,84,1,139,2022-07-23,1.66,1,174,3,
13620753,Private Suite 5 mins to Downtown /60 mins to Coast,78890374,Bob & Delia,,Ward 8,44.9622,-123.0696,Private room,62,1,485,2023-03-19,5.90,1,333,84,
13960938,"2 Bedrooms/Private Entry/Private Bath, S Salem",19196434,Maria,,Ward 7,44.90361,-123.05791,Private room,55,3,209,2023-03-08,2.61,1,164,46,
14017093,Room near University and Salem Hospital,74488167,Casey,,Ward 2,44.92168,-123.03989,Private room,58,1,232,2020-09-06,2.85,1,9,0,
14077210,Light filled Art Loft on Fairmount Hill,2666789,Mary Lou,,Ward 7,44.92325,-123.04947,Entire home/apt,111,2,275,2023-03-23,3.40,1,43,31,
14556351,Ben Lomond House,83848627,Matthew,,Ward 2,44.91678,-123.03907,Entire home/apt,221,2,121,2023-02-28,1.50,1,333,15,
14967922,5-star 4-BR home near WIllamette Univ & Salem Hosp,89181819,Kristen,,Ward 7,44.92076,-123.04577,Entire home/apt,189,4,8,2022-09-05,0.14,3,190,2,
15272064,Vista Manor Peacock room. Queen bed ensuite bath.,49073704,Elizabeth,,Ward 2,44.91144,-123.042,Private room,74,1,791,2023-03-21,10.05,5,79,139,
15815105,"Vista Manor master suite, King bed ensuite bath.",49073704,Elizabeth,,Ward 2,44.91053,-123.04181,Private room,102,1,536,2023-03-23,6.93,5,68,91,
16001174,Cozy flat with office.  Garden/water views,102278503,Victoria,,Ward 2,44.925816,-123.032356,Entire home/apt,89,60,2,2022-07-10,0.04,6,264,1,
16690039,Central Salem - Bright Queen Room (+ desk),3208932,Christy,,Ward 2,44.9315,-123.01878,Private room,40,1,355,2023-03-18,4.70,3,127,104,
17111184,"Century House Cedar Room with lots of space, light",10502090,Jean,,Ward 2,44.93432,-123.02128,Private room,105,2,28,2022-11-13,0.38,3,348,4,
17238122,Pringle creek furnished flats,102278503,Victoria,,Ward 2,44.92509,-123.03197,Entire home/apt,70,60,7,2023-02-17,0.23,6,191,3,
17238244,1920s Cottage - Walk in the Park  19-104415-LI,22605257,Linda,,Ward 7,44.92769,-123.04669,Entire home/apt,125,1,500,2022-09-02,6.84,1,85,67,
18004141,Lovely 1-bedroom in unit apartment with parking,104708472,Sara-Adam,,Ward 8,44.93271,-123.07666,Private room,45,1,42,2022-12-23,5.32,2,336,42,
18794723,Heart of the Valley south Salem Home!,129344084,Monica,,Ward 2,44.90976,-123.0378,Entire home/apt,120,1,12,2023-03-05,1.33,1,176,12,
18979869,"West Salem: Relax, Refresh and Room to sprawl",16355487,Sandy & Ben,,Ward 8,44.97381,-123.07591,Private room,76,30,1,2017-08-21,0.01,1,83,0,
19144944,Country Garden Retreat,133856626,Diane,,Ward 3,44.88863,-122.95169,Entire home/apt,80,2,277,2023-03-19,4.02,1,124,52,
19388806,"Cindy's Nook,  Suite, w/Private Entrance & Sauna",42050514,Cindy,,Ward 7,44.91655,-123.04683,Entire home/apt,85,1,272,2022-07-07,3.90,1,86,11,
19488223,Juke Joint in Wine Country,136789901,Greg,,Ward 2,44.93075,-123.018797,Entire home/apt,150,2,9,2023-03-26,4.66,1,340,9,
19532562,Historic Cottage close to downtown for Eclipse,134427390,Nathan,,Ward 1,44.93868,-123.02154,Entire home/apt,1000,2,1,2017-08-21,0.01,1,0,0,
19840044,"Sunnyslope Retreat - Private Entry, Fireplace & AC",17012934,Chuck & Lorie,,Ward 7,44.89607,-123.06258,Entire home/apt,89,3,175,2023-03-05,2.55,1,236,26,
19983672,Classic Town Home on 50 acres of wetlands,141740262,Megan,,Ward 4,44.85853,-123.02099,Private room,65,2,1,2017-08-22,0.01,1,173,0,
20011950,Private Room in Comfort Home,2421461,Nancy,,Ward 7,44.89192,-123.06963,Private room,90,1,1,2017-08-23,0.01,2,34,0,
20014682,**Private bedroom available SOLAR ECLIPSE,93510253,Lindsey,,Ward 2,44.92134,-123.03794,Private room,301,2,0,,,2,0,0,
20015604,Private bedroom available for **ECLIPSE**,93510253,Lindsey,,Ward 2,44.9198,-123.03812,Private room,249,2,1,2017-08-22,0.01,2,0,0,
20035307,Sweet private suite and more,90246105,Susan,,Ward 1,44.95033,-123.01447,Entire home/apt,72,2,123,2022-09-12,1.80,1,111,9,
20072558,Myrtle Cottage Guest House,142659171,Judy,,Ward 8,44.94082,-123.08049,Entire home/apt,81,3,123,2023-03-08,1.81,1,333,22,
20231503,"Vista Manor Elephant Room ensuite  bath, king bed.",49073704,Elizabeth,,Ward 2,44.91154,-123.04225,Private room,89,1,362,2023-03-23,5.29,5,82,106,
20232827,Homebydesign4u,144041038,Ligali,,Ward 3,44.89761,-123.04809,Entire home/apt,176,2,174,2023-03-12,2.63,2,121,43,
20235110,Immaculate Home With Central AC SE Salem,144041038,Ligali,,Ward 4,44.87613,-123.06024,Entire home/apt,171,2,2,2022-12-30,0.44,2,149,2,
20304963,Handsome Mini-suite near Willamette University,89181819,Kristen,,Ward 7,44.92055,-123.04557,Private room,76,2,7,2022-07-31,0.10,3,26,2,
20329857,COZY PRIVATE SOLAR ECLIPSE DESTINATION - AUG 18-22,144680856,Patricia,,Ward 2,44.92015,-123.03253,Entire home/apt,1000,2,0,,,1,0,0,
20329904,Immaculate and Quiet Home Centrally Located,145045803,Sheli,,Ward 3,44.89836,-123.02931,Entire home/apt,6000,3,40,2022-09-11,0.67,1,146,8,
20455186,Golf course community 3 bedroom 2 bath - eclipse.,146014773,Tim,,Ward 4,44.86756,-123.03891,Entire home/apt,750,1,1,2017-08-21,0.01,1,89,0,
20494604,Sunlit Mini-Suite  near Willamette University,89181819,Kristen,,Ward 7,44.92067,-123.04703,Private room,75,2,3,2022-10-09,0.04,3,53,2,
20537027,Eclipse viewing,62669634,Lynne,,Ward 7,44.87153,-123.07813,Private room,175,2,0,,,1,0,0,
20555651,"Vista Manor butterfly room, King bed/ private bath",49073704,Elizabeth,,Ward 2,44.91074,-123.04313,Private room,55,1,113,2022-06-04,1.66,5,0,35,
20638909,Historic & Charming Salem Home w/Mill Creek Views!,121688409,Evolve,,Ward 1,44.93765,-123.01689,Entire home/apt,207,2,8,2022-10-09,0.13,3,244,2,
20769206,South Salem private room.,148795009,Evelyn,,Ward 2,44.92157,-123.03801,Private room,37,3,25,2023-02-14,0.38,2,345,1,
20843302,*Quiet Residential Home For Traveling Nurses,121661305,Don,,Ward 4,44.87962,-123.01718,Private room,34,28,14,2023-02-22,0.21,2,329,2,
22215712,Private bedroom close to I-5,161312832,Emily,,Ward 4,44.87854,-123.03973,Private room,58,1,315,2023-03-18,4.93,1,82,57,
23234197,"Convenient, modern family home SE Salem near I5",9643500,Jason,,Ward 4,44.87183,-123.03444,Entire home/apt,117,2,136,2023-03-19,2.25,1,75,38,
23320790,Quiet Residential Home For Traveling Nurses,121661305,Don,,Ward 4,44.87892,-123.01769,Private room,34,28,8,2023-03-12,0.19,2,318,3,
24019630,Century House Maple Suite 18-102571 LI,10502090,Jean,,Ward 2,44.93373,-123.01971,Private room,155,2,22,2022-11-27,0.37,3,333,3,
24373913,Sasquatch’s Cozy Stay,67196252,Marissa,,Ward 1,44.95176,-123.02568,Private room,55,1,37,2023-03-22,0.65,1,32,32,
24780208,Guest Cottage at Vista Manor,49073704,Elizabeth,,Ward 2,44.91053,-123.04313,Entire home/apt,116,1,502,2023-03-16,8.42,5,64,79,
25873321,"Ground floor guest suite: city, woods, wineries",89498854,Kyle,,Ward 7,44.89687,-123.07442,Entire home/apt,122,2,147,2023-02-22,2.54,1,284,42,
27546916,Beautiful 1940s Fairmount Hills Bungalow in Salem,31303377,Sarita,,Ward 7,44.92875,-123.04789,Entire home/apt,144,2,48,2023-03-10,0.86,1,268,27,
30340285,Beautiful Suite Near Downtown & Bush Park,17219224,Caleb And Keely,,Ward 2,44.92324,-123.03954,Entire home/apt,70,30,50,2022-11-04,0.95,1,240,4,
30442754,"Willamette Valley Bungalow Salem,OR (Dog Friendly)",228558574,Bill & Aimee,,Ward 7,44.91814,-123.04716,Entire home/apt,168,2,91,2023-03-12,1.76,2,340,19,
31907842,Central Salem Suite with Kitchen,18601259,Jackie,,Ward 1,44.94926,-123.02469,Entire home/apt,87,1,310,2023-03-25,6.28,1,17,71,
