id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8195182,Gorgeous Apt in Little Italy w/ Rooftop & Parking,6587293,Rachel,,Little Italy,32.72219,-117.16893,Entire home/apt,161,2,476,2023-02-15,5.18,7,15,26,
20543597,Private Studio with Full kitchen Down Town SD,121129976,Julie,,Park West,32.72684,-117.16022,Entire home/apt,155,1,3,2023-03-06,0.68,1,109,3,
796041226517776101,zen style home frwy close,431522034,Tim,,Lynwood Hills,32.62869,-117.02919,Private room,54,30,2,2023-01-23,0.92,2,365,2,Exempt
33012495,Amazing Zen Villa! HotTub LittleItaly Convention C,9832430,Ricardo,,Park West,32.73068,-117.16443,Entire home/apt,248,1,174,2023-02-10,3.55,16,151,32,
14253455,Dual En-Suite Condo w/Views-Walk 2 Balboa Park,8875994,Janella,,Midtown,32.73747,-117.16073,Entire home/apt,295,30,11,2022-12-15,0.19,19,214,4,
7109810,Large Ocean Beach Bungalow for 2.,34393167,Kenny,,Loma Portal,32.74449,-117.2409,Entire home/apt,129,3,279,2023-03-22,2.97,1,319,46,STR-02681L
553703515295036931,Luxury townhome in PB with sunset & sunrise views,435067777,Bhupendra,,Pacific Beach,32.79789,-117.25012,Entire home/apt,350,30,2,2022-12-11,0.29,2,173,2,
50678195,Bamboo Room,35602530,Lily,,Midtown,32.74047,-117.1618,Private room,90,3,51,2023-02-18,2.42,5,71,22,STR-01644L
25207428,Chill on the Quiet Outdoor Deck at a Pacific Beach Bungalow,190459926,Cesar,,Pacific Beach,32.80569,-117.24301,Entire home/apt,299,2,89,2020-08-20,1.52,1,204,0,STR-06543L
45563477,2BR Beachfront/Heated Pool/Clean- PB “Island Time”,368929940,Kelekalani,,Pacific Beach,32.79897,-117.25628,Entire home/apt,216,7,60,2023-03-15,2.04,1,70,18,STR-00799L
31917256,"Inn at the Park, SD, CA, Studio K #2",10981379,Jan,,Midtown,32.73852,-117.15979,Entire home/apt,229,2,0,,,24,4,0,
7936811,PB Sunset Suite on the Beach w/ AC,41853439,Umit,,Pacific Beach,32.79215,-117.25465,Private room,1229,1,15,2022-03-18,0.16,3,267,0,
622673009638771756,Inn at the Park Resort Studio Queen,451666217,Elite Escapes,,Midtown,32.73798,-117.16085,Entire home/apt,192,2,0,,,7,19,0,Exempt
739430805235333169,Beach Front Apartment #9,470802327,Beachfront Bungalows,,Pacific Beach,32.79408,-117.25486,Entire home/apt,164,1,21,2023-03-21,4.60,9,359,21,
848278288090027566,2BR w/Spectacular Skyline View,387558696,Dream Vacation Homes,,East Village,32.708,-117.15174,Entire home/apt,428,1,0,,,4,350,0,Exempt
50707256,One Bedroom Apartment with San Diego Downtown View,408623755,Fir,,Park West,32.72379,-117.16063,Entire home/apt,126,1,55,2023-03-18,2.63,35,325,24,
611024172096437999,SD Dazzling Loft! in the Heart of Gaslamp,301775154,Neil,,Gaslamp Quarter,32.71489,-117.16037,Entire home/apt,129,2,17,2023-03-16,1.55,18,322,17,
573487548141793988,Gaslamp Gem/1BR/1BA/Remodeled/New Everything,16912042,Robert,,Gaslamp Quarter,32.7136,-117.15957,Entire home/apt,209,14,10,2022-06-04,0.84,20,364,10,
6646955,Good Vibe Loft in Little Italy w/parking & laundry,6587293,Rachel,,Little Italy,32.72461,-117.16801,Entire home/apt,147,1,668,2023-03-06,7.06,7,85,76,
53642196,Spacious Studio in Little Italy w 2 Parking Spots!,391964118,Taylor,,Little Italy,32.72684,-117.16951,Entire home/apt,222,2,62,2023-03-20,4.37,4,224,56,STR-05558L
610442374428045684,High-Rise 1 Bedroom+Den w/Great View &Free Parking,121784457,Elcim,,East Village,32.7153,-117.15361,Entire home/apt,155,30,1,2023-01-06,0.38,17,364,1,
593461996785911385,Sensational Downtown San Diego Penthouse 2 bedroom,42021091,Red,,Core,32.718414,-117.158043,Entire home/apt,315,1,9,2023-03-06,0.78,1,118,9,
46777836,Amazing house in OB. One block from the beach!,145889051,Fabricio,,Ocean Beach,32.75116,-117.24886,Entire home/apt,120,7,2,2021-06-28,0.08,1,0,0,
103841,"Tranquil, Private Bedroom/Bath in Carmel Valley",541128,Florence,,North City,32.95948,-117.23468,Private room,79,2,135,2023-03-05,0.94,1,22,20,
45173066,Welcome to California,10407935,Meng,,Mission Bay,32.7827,-117.25323,Private room,155,1,74,2022-10-09,2.39,3,0,22,
768119886168394129,Rolling Hills Casita,18520201,Cristi,,Rolling Hills Ranch,32.6767212,-116.9385574,Entire home/apt,120,31,0,,,1,325,0,
37692898,"Close to beach, golf course one bedroom apartment.",109925524,Ivy,,Carmel Valley,32.9451,-117.23159,Entire home/apt,128,30,14,2023-02-26,0.45,2,221,6,
2303470,**Canyon Retreat: tranquil private guesthouse**,10704914,Erin,,Talmadge,32.765217,-117.093178,Entire home/apt,176,4,310,2023-03-18,2.83,2,323,47,
782895584719164520,"Mission Valley Oasis- Monthly Rental $3,700.00",524951,Laura,,Grantville,32.78941,-117.10683,Entire home/apt,130,31,0,,,1,280,0,
6033212,Charming Spanish Casa Mayor,8925777,Laurie & Andy,,Kensington,32.76057,-117.10382,Entire home/apt,156,3,181,2023-02-27,1.87,3,205,33,
18043608,Ginger Cottage with A/C and Parking,91375454,Louise,,Loma Portal,32.74337,-117.2478,Entire home/apt,150,3,186,2022-07-08,2.57,1,83,12,STR-01711L
13192599,Beach House at Mission Bay,73849443,Chris,,Mission Bay,32.79209,-117.24309,Entire home/apt,189,2,250,2022-12-19,3.01,1,114,22,
1815604,"Walk distance to Pacific Beach, Amenities, Cozy",9444320,Kenia Siqueira,,Pacific Beach,32.80423,-117.23939,Private room,79,28,83,2022-10-15,0.84,7,302,6,
9137186,San Diego - Inn At The Park 2 Bdrm Condo Resort,9296727,Jesse,,Midtown,32.7382,-117.16097,Entire home/apt,216,1,0,,,2,0,0,
7331481,"New photos of remodel at Crystal`s See the Sea Condo: Hot Tub, Steps to Restaurants & Bars!",37353287,Nancys,,Pacific Beach,32.79703,-117.25524,Entire home/apt,268,4,40,2023-01-18,0.48,61,304,7,
53336542,Perfect Beach Getaway in Fun Pacific Beach!,208087084,Anthony And Martha,,Pacific Beach,32.80365,-117.25153,Entire home/apt,148,3,36,2023-03-09,2.27,16,266,27,
592661631998195015,Beach Condo w/ Waterfront Hot Tub & Private Patio,8925187,Katie,,Mission Bay,32.791897,-117.245888,Entire home/apt,375,30,5,2022-10-15,0.42,1,363,5,STR-06267L
766604695191588276,Ocean view resort style living!,193530257,Kevin,,Loma Portal,32.74415,-117.24478,Entire home/apt,490,32,0,,,4,238,0,STR-04203L
19381741,Cozy Beach Studio,135858375,Cc,,Loma Portal,32.74443,-117.2405,Entire home/apt,108,2,159,2023-03-11,2.31,2,227,31,
52900622,‘Ted’ Cozy central location! 10 minutes to Balboa!,2401501,Kevin,,Encanto,32.71158,-117.05887,Entire home/apt,112,1,134,2023-03-10,7.76,1,236,91,STR-03068L
694302780669312884,Spacious Luxury Home with Pool and Jacuzzi,106217357,Sara,,San Ysidro,32.54836,-117.05255,Entire home/apt,443,2,28,2023-03-19,4.31,1,141,28,STR-01799L
843729405065327939,Pacific Beach Paradise - Near the Beach w/AC,499662709,Mason,,Pacific Beach,32.799119,-117.2502006,Entire home/apt,352,3,0,,,27,162,0,
824721040303225064,Beach Happy,492305565,Ocean Sands Vacation Rentals,,La Jolla,32.831492867842634,-117.280158418097,Entire home/apt,418,3,2,2023-03-17,2,7,142,2,STR-01007L
784803183267046590,High Rise Luxury Apt DT San Diego with Great views,491850297,Chid,,East Village,32.70786,-117.15866,Entire home/apt,306,2,3,2023-03-09,1.18,15,308,3,Exempt
629849220712503242,3BR Apt Located steps from Petco Park Sleeps 12!,18698598,Ryan,,Gaslamp Quarter,32.71213,-117.15958,Entire home/apt,266,1,37,2023-02-12,3.63,12,130,37,
52567174,Spacious Hillside Villa,392730722,Eric,,Bay Park,32.78376,-117.19809,Entire home/apt,800,1,2,2021-10-24,0.11,1,0,0,
6491605,Stunning Windansea Ocean Front (A)!,33927017,Anissa,,La Jolla,32.83084,-117.28017,Entire home/apt,650,4,114,2023-02-16,1.20,1,312,15,STR-05578L
34723816,Peaceful Private Cottage 1 in Heart of North Park,261909371,Chris,,North Hills,32.74791,-117.13542,Entire home/apt,132,14,122,2023-02-05,2.64,2,0,10,STR-05831L
48084390,Close to everything,157545661,Moises,,Balboa Park,32.71861,-117.14049,Entire home/apt,215,1,2,2022-03-23,0.08,1,0,0,
746466441011288559,Sunny Kearny Mesa Casita - 1br w/hot tub,13811367,Helen,,Kearny Mesa,32.82648,-117.13561,Private room,85,2,9,2023-02-27,1.93,1,80,9,
49637747,"Beautiful Large Point Loma Home, Close to Beaches, Downtown, Nice Backyard with Fire Pit",156086844,Southern California Rentals,,Loma Portal,32.74855,-117.2189,Entire home/apt,285,1,2,2021-11-30,0.10,24,212,0,
681816332460794907,150 Capacity Resort 34 Bedrooms 89 beds Events,1188065,Good Life Resorts,,Grant Hill,32.71075,-117.12408,Entire home/apt,8807,1,0,,,26,329,0,Exempt
26076660,Quiet Spa-like Oasis in the City,29294409,Dylan,,Normal Heights,32.76772,-117.12245,Entire home/apt,188,2,53,2023-03-08,0.93,2,82,26,STR-05260L
53770375,Penthouse 2 bedroom! Pool! Jacuzzi! Free Parking!,432939989,James,,University City,32.87349,-117.20462,Entire home/apt,221,2,25,2023-03-11,1.70,11,350,19,
834961288786944994,Zen in the Valley- Central*Garden*Vista* Boat Ride,25163604,Randy,,San Carlos,32.8136964,-117.0597095,Private room,68,1,0,,,1,61,0,
9299848,LA JOLLA/ UTC most beautiful neighborhood,48279091,Roberta,,University City,32.85768,-117.20383,Private room,99,1,2,2022-09-04,0.22,2,365,2,
774669048801120028,Modern Luxe Mission Valley 3 BR with Game Room,22022348,Isela And Dan,,Serra Mesa,32.7960527,-117.1286124,Entire home/apt,559,2,5,2023-03-09,1.70,1,151,5,STR-05252L
52658877,Cheerful one bedroom in sunny San Diego.,364420393,Kimberly,,Paradise Hills,32.6744,-117.06285,Private room,75,2,31,2023-03-12,1.89,2,144,26,
781226669326746996,Bright and Stylish Condo,165386853,Kara,,West University Heights,32.753699,-117.1514618,Entire home/apt,135,31,0,,,1,144,0,
690816002716939679,Adorable casita,277882529,Juan And Connie,,Paradise Hills,32.67433,-117.06028,Entire home/apt,129,1,9,2023-03-12,1.29,2,164,9,
30155935,House Just up the hill from Snapdragon stadium!,104726501,Michael,,Serra Mesa,32.80233,-117.12396,Entire home/apt,352,31,0,,,1,358,0,
643766167448095593,Casita Chula in Downtown Chula Vista,20239832,Luis,,Northwest,32.64607600138658,-117.07892540842295,Entire home/apt,101,3,24,2023-03-14,2.60,1,123,24,STR22-0111
625640645982787106,Modern Studio #5,234239181,Yumi,,City Heights West,32.75518,-117.11903,Entire home/apt,90,1,24,2023-02-26,2.29,21,357,24,
3068306,"OLD TOWN STUDIO,POOL, CABANA PARKING Pets Welcome",15614844,Bob,,Old Town,32.74905,-117.19281,Entire home/apt,259,2,89,2023-02-20,0.84,1,346,10,STR-06374L
786434519793024624,Luxe Private Room HistoricHostel,401278868,Nicole And Joe,,Gaslamp Quarter,32.71065686026971,-117.15997898077444,Private room,55,1,3,2023-03-17,1.10,13,332,3,Exempt
31419142,San Diego Casita,35390479,Eder,,City Heights East,32.7305,-117.10001,Entire home/apt,158,2,230,2023-03-14,4.54,2,15,55,
28221767,Beach N’ Bay! Welcome to San Diego!,213158588,Angie,,Mission Bay,32.78298,-117.25258,Entire home/apt,325,4,108,2023-03-18,1.95,1,177,32,
40509379,"Clean, Private, Quiet, Centrally Located Apartment",65252786,Rich And Ruby,,Midtown,32.74378,-117.17728,Entire home/apt,141,3,99,2023-03-12,2.50,1,91,34,STR-00800L
49095158,"NEW! 11th-Floor Condo w/ Views, Gym Access & More!",126644161,Evolve,,Gaslamp Quarter,32.70828,-117.16057,Entire home/apt,149,30,0,,,83,294,0,
660952157779208448,Crown Point Bayfront Condo Steps from the Water!,447660947,Lee,,Mission Bay,32.79171,-117.23179,Entire home/apt,206,2,5,2023-03-19,0.57,3,362,5,
22472622,Pacific Beach Paradise,100306999,Taylor,,Pacific Beach,32.80533,-117.25439,Private room,96,2,40,2023-03-09,0.65,1,34,34,
21726604,"Pacific View- 3 Story, Steps to Beach, Cozy Home!",64443919,San Diego Sunset,,Mission Bay,32.7828,-117.25343,Entire home/apt,575,3,14,2022-08-29,0.25,27,233,1,
10031908,4 Blocks from Beach (with ROOFTOP DECK),51501892,Conor,,Pacific Beach,32.79763,-117.24985,Private room,113,2,128,2023-03-16,1.47,2,24,6,STR-02208L
614598325441483576,Cute & Safe 1 br apt in North Park,13863280,Darreca,,Normal Heights,32.75865,-117.12505,Entire home/apt,114,3,0,,,1,363,0,
21175991,15 MINS FROM THE BEACH! Cozy 1 Bedroom Home,25320944,Maggie,,South Park,32.7163,-117.12859,Entire home/apt,99,1,664,2023-03-09,10.35,3,58,110,
32763686,Home Theater/ Gaming Condo,246277705,Luis,,Bay Terrace,32.67476,-117.03922,Entire home/apt,300,2,0,,,1,0,0,
3192233,Spacious Private Room & Bath & Parking in PB (1),16179641,Fabrice,,Pacific Beach,32.79647,-117.23658,Private room,119,3,160,2022-11-14,1.51,2,51,4,
811451399882046549,Hip 3 BR Townhome w/view deck+firepit near Zoo,86162574,Lynn,,Balboa Park,32.7171558,-117.1362821,Entire home/apt,379,1,0,,,2,256,0,
684365123736774041,La Jolla bedroom close to UCSD,152099471,Edward,,La Jolla Village,32.85701,-117.23406,Private room,59,31,1,2022-12-18,0.31,4,30,1,
23853868,North park condo,52179214,Kyle,,North Hills,32.75325,-117.13755,Entire home/apt,110,1,1,2018-03-30,0.02,1,0,0,
53256016,Newly Remodeled Townhome in the Heart of San Diego,272191163,Danny And Michelle,,Midtown,32.74243,-117.16853,Entire home/apt,207,2,54,2023-03-22,3.35,7,113,44,
31561794,*FULL REMODEL* 4BD Entire House Close To Downtown!,40734550,Kelsi,,Midtown,32.73268,-117.16733,Entire home/apt,403,2,103,2022-11-17,2.02,2,57,16,
9541758,Romantic Private Garden Studio Near Downtown,874690,Kathi,,Grant Hill,32.71114,-117.14513,Entire home/apt,110,2,405,2023-03-20,4.67,1,206,52,
