id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,202,2,383,2023-02-19,2.31,1,128,59,City Registration Pending
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,2017-08-06,0.66,1,365,0,
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,9,2022-10-27,0.09,13,365,1,
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,575,9,28,2019-06-28,0.17,2,365,0,STR-0000264
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,110,1,770,2023-02-25,4.65,2,159,34,STR-0000028
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,95,1,19,2023-01-28,0.12,2,365,1,2022-011003STR
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.7844,-122.47932,Entire home/apt,259,5,234,2023-02-17,1.69,1,32,13,STR-0002192
490931,"Mission's ""La Lengua""",1269188,Maureen,,Bernal Heights,37.74766,-122.42041,Private room,100,30,80,2022-11-26,0.74,1,331,1,
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,79,30,18,2015-05-17,0.13,1,230,0,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,7,2022-06-11,0.05,13,365,1,
491867,Central San Francisco Urban Dream,969518,Sona,,Western Addition,37.77196,-122.43477,Entire home/apt,425,2,56,2023-02-19,0.44,1,7,14,STR-0000192
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.04,13,365,0,
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,99,3,446,2023-02-20,2.79,1,7,19,STR-0000057
144242,Lake Street Single Family Home,699215,Kate,,Inner Richmond,37.78546,-122.46148,Entire home/apt,545,3,22,2022-01-02,0.15,1,64,0,2022-011317STR
18231,Loft-like Apt./Garden,70224,Arlene Helfand,,Noe Valley,37.74916,-122.42971,Entire home/apt,95,30,69,2022-06-19,0.44,1,192,2,
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.79233,-122.42431,Private room,55,30,121,2023-02-28,0.85,9,55,1,
147443,Best Views in all of San Francisco,709325,Mark,,Diamond Heights,37.74633,-122.44591,Entire home/apt,167,30,112,2022-09-30,0.79,5,262,2,STR-0000672
493889,Spacious 1brm w/ breathtaking view,2439917,Germaine,,Outer Mission,37.72833,-122.44125,Entire home/apt,235,4,102,2022-10-25,0.78,1,352,18,STR-0004820
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,116,2,443,2023-02-22,3.23,1,56,29,STR-0000094
494111,Comfortable space of your own in SF,252927,Vivian,,Outer Richmond,37.77988,-122.48488,Entire home/apt,140,3,222,2023-02-11,1.72,2,312,29,STR-0005156
148627,Romantic Marina Garden Studio,709325,Mark,,Marina,37.79961,-122.42771,Entire home/apt,85,30,118,2022-10-13,0.86,5,215,4,
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,149,30,124,2022-07-01,0.79,1,357,2,City registration pending
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75045,-122.44956,Entire home/apt,70,30,96,2022-12-24,0.91,5,241,2,STR-0000672
149108,Luxury UCSF Cole Valley Condo w/Tesla Charger,719538,Margaret,,Haight Ashbury,37.76216,-122.45022,Entire home/apt,180,30,3,2023-02-14,0.03,1,79,1,
501770,Contemporary Home with Mid-Century Modern Design,2475480,Arthur,,Haight Ashbury,37.77252,-122.43846,Entire home/apt,220,30,110,2022-09-26,0.85,5,64,2,
23611,Lovely 1 Bedroom Bernal Condo with FAB Views !,18732,Cecilia,,Bernal Heights,37.74537,-122.41226,Entire home/apt,286,5,261,2022-09-25,1.66,1,49,7,STR-0004198
503362,"Million Dollar Penthouse, Remodeled",2475480,Arthur,,Haight Ashbury,37.77265,-122.43857,Entire home/apt,350,30,116,2022-09-15,0.89,5,64,1,
504146,★ Iconic Marina Waterfront ★ Walk/Bike Score 94+,2486135,Laura,,Marina,37.80489,-122.43746,Entire home/apt,295,2,111,2023-02-17,0.87,1,64,12,STR-0000323
505530,Come stay in Bernal Heights!!,698337,Emily,,Bernal Heights,37.74154,-122.4086,Entire home/apt,240,30,13,2023-01-31,0.11,2,142,3,City registration pending
150347,Cute Private 2Br Apt in the Mission with Parking!,172182,Brian & Leah,,Mission,37.75981,-122.4188,Entire home/apt,158,30,131,2023-01-25,0.92,2,159,2,
166199,Castro Cottage w/ Secret Garden,792371,Matt,,Castro/Upper Market,37.76241,-122.43026,Entire home/apt,170,30,159,2019-07-08,1.13,1,89,0,City registration pending
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76973,-122.44695,Entire home/apt,150,30,170,2022-12-09,1.21,1,114,3,
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75565,-122.40125,Private room,169,2,354,2023-02-20,2.28,2,228,37,STR-0000036
175090,FINANCIAL DIST:  near shops/dining. Rooftop deck.,127367,Michelle,,Financial District,37.79203,-122.40284,Entire home/apt,120,30,26,2022-08-08,0.19,6,307,1,
