id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39342,Near the beach. 1 small dog is ok. Lovely Cottage.,127367,Michelle,,Pacifica,37.62972,-122.48739,Entire home/apt,135,31,3,2022-02-05,0.02,2,365,0,
55301,Private Cottage with Chef's Kitchen & Washer/Dryer,261070,Shannon,,Menlo Park,37.46201,-122.15243,Entire home/apt,149,31,57,2023-01-05,0.40,1,267,9,
72211,3 BR Home on Vineyard nr Palo Alto & Stanford,101491,William,,Portola Valley,37.3878,-122.20206,Entire home/apt,354,3,129,2022-09-11,0.90,1,79,8,
83584,Near the beach.1 small dog is okay.  Loft bedroom.,127367,Michelle,,Pacifica,37.63009,-122.48715,Entire home/apt,120,31,9,2022-01-23,0.09,2,269,0,
92921,Silicon Valley Room With Private Bath,499362,David,,Atherton,37.47632,-122.18583,Private room,95,2,431,2023-03-18,2.98,1,351,19,
123653,Beautiful 4BR Home by Stanford Univ,617641,Mj,,Atherton,37.4597,-122.19563,Entire home/apt,713,29,13,2017-08-04,0.09,2,365,0,
170293,Sunny and Green in Silicon Valley,424098,Tim,,San Carlos,37.51267,-122.25994,Private room,94,2,121,2022-11-16,0.85,1,87,10,
175322,Large 2-story House Near Beach,838172,Kevin,,Half Moon Bay,37.45712,-122.43771,Entire home/apt,175,30,0,,,1,0,0,
3636699,Craftsman Bungalow in Silicon Valley,18340596,John,,Redwood City,37.4873,-122.24475,Entire home/apt,357,2,90,2023-03-19,1.12,1,177,5,
3638801,Oceanfront Views - Steps to the Beach,6384956,Stefan,,Unincorporated Areas,37.2139,-122.40797,Entire home/apt,614,1,126,2023-01-02,1.20,1,170,20,
3720237,private room with private bath at perfect location,4142181,Dawei,,San Mateo,37.54381,-122.30413,Private room,100,8,2,2014-08-23,0.02,6,365,0,
208270,Private Room & Loft with View in San Mateo,1025039,Angela,,San Mateo,37.5328,-122.32216,Private room,140,1,175,2023-02-26,1.25,5,137,4,
3769292,Single room 3 mins from SFO airport,18762801,Bill,,San Bruno,37.62881,-122.40745,Private room,76,1,305,2023-03-09,3.63,1,54,32,
808914,Paloma Cottage under a tree,2441782,Brian,,Burlingame,37.58169,-122.36466,Entire home/apt,74,30,232,2021-10-15,1.85,1,18,0,
236882,Lovely room near Stanford  for 1,617641,Mj,,Atherton,37.46251,-122.1971,Private room,90,25,148,2022-09-04,1.09,2,305,3,
275617,Comfortable SF Peninsula Bedrooms,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,80,3,124,2020-03-08,0.90,4,212,0,
281339,Welcoming SF Peninsula Room for You,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,80,3,132,2020-01-23,0.96,4,164,0,
3822252,"Warm, Welcoming ""The Mission"" Room",19363764,Dennis,,San Mateo,37.57627,-122.30992,Private room,65,1,99,2023-02-02,0.95,3,96,7,
281472,SF Peninsula Bedroom with a View,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,75,3,122,2020-02-08,0.93,4,184,0,
312514,"Quiet , Private Studio / Cottage",1605211,Chris,,Redwood City,37.48141,-122.24523,Entire home/apt,109,2,323,2023-03-19,2.39,1,253,33,
3843683,"Sunny, Quiet, Separate Studio in Private Home",19811568,Anne,,Menlo Park,37.4448,-122.18988,Entire home/apt,169,3,212,2023-03-19,2.02,1,92,14,
817957,Beautiful room and private bath,962083,Sylvia,,Unincorporated Areas,37.4501,-122.22711,Private room,109,2,31,2020-02-15,0.26,1,364,0,
313467,Amazing Cottage Private Home,1611813,Brent,,Unincorporated Areas,37.46706,-122.16517,Entire home/apt,1000,1,10,2018-10-25,0.12,1,365,0,
834958,Beautiful Home next to Stanford & Sand Hill Rd,4358242,Amanda,,Unincorporated Areas,37.43476,-122.20706,Entire home/apt,300,5,69,2023-03-15,0.56,2,351,19,
