id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4952,Butterfly Inn - Graceful Living !,7054,Mei Lin,,Palo Alto,37.43972,-122.15672,Private room,90,2,75,2019-01-12,0.57,5,0
11464,Deluxe Studio 5 min.  to SC Kaiser & Apple Park,42458,Emey,,Santa Clara,37.34342,-121.98829,Entire home/apt,85,14,6,2019-10-11,0.08,12,180
17884,Silicon Valley Suite,69023,Janet,,Mountain View,37.38612,-122.07357,Entire home/apt,65,30,2,2019-04-27,0.10,2,179
21373,Bonsai Garden Inn in Professorville,7054,Mei Lin,,Palo Alto,37.44001,-122.15667,Private room,99,2,264,2020-03-14,2.16,5,238
37512,Private  room - Parking 3 carport,161741,Maria,,San Jose,37.30598,-121.84036,Private room,52,1,183,2017-03-14,1.52,2,316
40560,MOST COMFORTABLE BED EVER,174725,Megan,,Palo Alto,37.45356,-122.13733,Private room,110,1,133,2019-11-21,1.12,3,362
44648,Charming room in West San Jose!!,196389,Joel,,San Jose,37.32654,-121.94955,Private room,60,3,54,2020-02-20,0.55,5,90
45444,MOST COMFORTABLE QUEEN BED EVER,174725,Megan,,Palo Alto,37.45348,-122.13714,Private room,125,1,46,2017-03-30,0.40,3,0
52786,Cozy Room in A Quiet Community,161741,Maria,,San Jose,37.30521,-121.84149,Private room,48,1,478,2020-03-11,4.07,2,315
62799,Zen Office and Sofa in Palo Alto,7054,Mei Lin,,Palo Alto,37.43925,-122.15617,Private room,115,7,148,2020-03-18,2.02,5,237
75284,Garden Room Oasis Walk to Stanford,7054,Mei Lin,,Palo Alto,37.44157,-122.15553,Private room,95,2,206,2020-03-16,1.85,5,236
106365,"Luxurious & Quiet Home near Main St, Cupertino",551319,Judith,,Cupertino,37.32194,-122.00511,Entire home/apt,189,31,179,2020-05-31,1.67,1,179
118903,"Private Studio, Bath, Entrance @ House of Chauncey",600040,Rey,,Sunnyvale,37.38483,-122.03664,Private room,75,1,98,2020-01-31,0.89,1,0
134606,"Private Room, Cozy Home Downtown SJ",660433,Veronica,,San Jose,37.34756,-121.88922,Private room,70,1,184,2020-03-11,1.71,1,365
138530,Sweet Private Residential Campbell Room and Bath,676266,David,,Campbell,37.27555,-121.96336,Private room,99,1,4,2016-07-01,0.04,2,0
161873,Downtown MV perfection,19333,Aaron,,Mountain View,37.38991,-122.07949,Private room,150,2,170,2020-02-13,1.57,1,156
172259,Studio with a private bath and wet bar,821982,Grace,,Palo Alto,37.40463,-122.12548,Private room,70,2,6,2020-03-13,0.66,7,202
188047,Modern Private Mini Eichler Studio,905460,Christine,,Palo Alto,37.44707,-122.12655,Entire home/apt,100,7,87,2020-05-17,0.82,1,323
191867,"Best reviews, own bath, Apple HQ",928535,Tracy,,Cupertino,37.31915,-121.99869,Private room,89,10,83,2019-08-29,0.77,4,364
214303,PRIVATE & COZY GARDEN ROOM,174725,Megan,,Palo Alto,37.45371,-122.13727,Private room,120,1,58,2020-02-04,0.55,3,0
215631,"Best reviews, quiet, safe, friendly",928535,Tracy,,Cupertino,37.31202,-122.00113,Private room,69,30,91,2019-11-01,0.88,4,365
231717,B&B: Quiet Bedroom & Bathroom,1211619,Yael,,Santa Clara,37.34609,-121.98467,Private room,86,1,146,2018-01-25,1.45,1,364
241788,Santana Row Modern Condo / Flat (Super Host),1269205,Ginger & Ray,,San Jose,37.32072,-121.94718,Entire home/apt,199,28,122,2019-12-13,1.17,3,353
251163,Family-friendly condo near downtown,398213,Dave,,Mountain View,37.38374,-122.08171,Entire home/apt,150,300,0,,,1,362
263527,5 brs Sweetberry Ct in San Jose,79924,Khanh,,San Jose,37.27726,-121.82972,Entire home/apt,1000,1,15,2018-08-12,0.16,8,365
269773,Private Room || Queen Size Memory Foam Bed,1412781,James,,Milpitas,37.42634,-121.88332,Private room,40,3,13,2020-05-29,0.30,2,151
300576,Private PA Cozy Quarters,1229021,Ying & Sherry,,Palo Alto,37.43775,-122.11942,Private room,85,5,89,2020-02-02,0.88,8,365
301971,Private Entry w/ Calif OrangeTrees,1229021,Ying & Sherry,,Palo Alto,37.40354,-122.12665,Private room,119,5,72,2019-11-30,0.71,8,365
307827,Lovely Private Garden Cottage,1169996,Marlene,,Palo Alto,37.43098,-122.1366,Entire home/apt,165,2,135,2020-03-05,1.32,1,332
310367,Comfortable Palo Alto home,1596454,Jochen,,Palo Alto,37.41,-122.13648,Entire home/apt,175,1,42,2019-07-11,0.60,1,89
310377,One room with a TV-et al,957234,Margaret,,Palo Alto,37.42816,-122.12957,Private room,125,2,56,2019-11-01,0.56,1,13
315339,Silicon Valley Victorian,1587385,Paul,,Saratoga,37.25092,-122.03673,Entire home/apt,318,14,10,2018-07-15,0.10,1,177
363117,SanJose/Campbell/Interns & Travelers Welcome (MBR),1835387,Mark,,San Jose,37.2756,-121.91251,Private room,54,14,25,2020-02-18,0.26,4,299
371563,Extra large Silicon Valley 1BR,42458,Emey,,Santa Clara,37.34182,-121.98666,Entire home/apt,97,4,21,2019-08-21,0.24,12,365
373730,Spacious Sunny Room in Sweet Home,1880028,Erin,,Palo Alto,37.41588,-122.13424,Private room,110,2,36,2020-02-01,0.36,1,365
382981,Fun and Friendly Home West San Jose,196389,Joel,,San Jose,37.32235,-121.95152,Private room,54,2,76,2020-01-31,0.81,5,90
383002,Warm Private room w private entry,1229021,Ying & Sherry,,Palo Alto,37.40469,-122.12575,Private room,115,4,20,2019-05-12,0.20,8,332
398319,Room @ the Heart of Silicon Valley,1989424,BJ And AN,,Santa Clara,37.37017,-121.98172,Private room,55,4,47,2020-01-15,0.48,3,0
427707,"Best reviews, Master Suite, 3 beds, YCombinator",928535,Tracy,,Cupertino,37.31202,-122.00113,Private room,109,5,71,2019-08-18,0.72,4,364
441941,First Responders Entire House@ Palo Alto,1229021,Ying & Sherry,,Palo Alto,37.42806,-122.11405,Entire home/apt,400,30,1,2012-09-05,0.01,8,129
464637,"Priv Ent, Studio, prv bath/long term/pets OK",2309083,Robert,,Morgan Hill,37.1342,-121.66997,Private room,65,2,11,2019-11-02,0.15,1,364
480365,A RARE CLASSIC IN DOWNTOWN SAN JOSE,2270348,Ken,,San Jose,37.32066,-121.88505,Entire home/apt,350,3,10,2020-01-25,0.11,6,365
497579,SanJose-Interns/Transplants -Short term room (CBR),1835387,Mark,,San Jose,37.27791,-121.91309,Private room,54,8,23,2020-01-30,0.24,4,363
523466,Ideal for Silicon Valley Tech visit,42458,Emey,,Santa Clara,37.34276,-121.98749,Entire home/apt,105,3,17,2020-03-25,0.20,12,180
527119,Spacious and bright master suite in Los Altos.,1596798,Iris,,Los Altos,37.37745,-122.10402,Private room,98,2,62,2020-02-13,0.65,1,351
529161,"Comfy, Cozy & Affordable 1-San Jose",2538509,Barbara,,San Jose,37.40174,-121.82812,Private room,55,5,146,2020-03-30,1.51,2,364
548660,Private W/ En suite Bathroom West San Jose,196389,Joel,,San Jose,37.32036,-121.95468,Private room,73,2,44,2019-12-23,0.49,5,179
552418,Delightful Private Room@Palo Alto,1229021,Ying & Sherry,,Palo Alto,37.43825,-122.11956,Private room,80,5,101,2019-12-08,1.05,8,365
554085,TravelNurses/Interns Welcome-Short/Mid term (Atr),1835387,Mark,,San Jose,37.27591,-121.91541,Private room,52,14,22,2020-03-22,0.27,4,353
582934,Downtown Los Gatos Town Living,2871546,Ron,,Los Gatos,37.22989,-121.97842,Private room,80,2,16,2019-12-22,0.17,2,365
583413,HackerHome - Santa Clara: shared room,43806,Vic,,Santa Clara,37.35634,-121.98417,Shared room,50,2,30,2019-06-15,0.32,49,365
583671,HackerHome - Santa Clara: bunk 1,43806,Vic,,Santa Clara,37.35937,-121.98095,Shared room,49,30,44,2018-10-21,0.46,49,365
583680,HackerHome - Santa Clara: shared room,43806,Vic,,Santa Clara,37.35586,-121.98273,Shared room,50,5,46,2019-08-25,0.48,49,365
598609,"Walk Dwtwn, organic home comfortable queen bed",984791,Carol,,Mountain View,37.39519,-122.09197,Private room,95,1,138,2019-08-22,1.44,4,163
600955,Walk Dwntwn queen bed Organic Home,984791,Carol,,Mountain View,37.3938,-122.0916,Private room,85,1,388,2020-03-28,4.03,4,363
