id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8357,The Mushroom Dome Retreat & LAND of Paradise Suite,24281,Kitty And Michael,,Unincorporated Areas,37.00939,-121.88547,Entire home/apt,164,2,1784,2023-03-27,10.70,2,95,122,
11879,Sunny room close to beach and parks,44764,Steven,,Unincorporated Areas,36.98048,-121.88129,Private room,55,3,88,2023-02-20,0.57,3,140,3,
24548,Room with Private Entrance.,99532,Kerstin,,City of Santa Cruz,36.97191,-121.99735,Private room,100,1,527,2023-03-07,3.35,1,0,17,
31721,Walktobeach/surf RemoteWorkCottage Pleasure Point,136376,Annie,,City of Capitola,36.95849,-121.97207,Entire home/apt,190,4,327,2023-03-27,2.60,2,324,59,
37791,The GetAway,162553,Katie,,City of Santa Cruz,36.97425,-122.00706,Entire home/apt,96,31,90,2014-11-17,0.58,1,265,0,
43785,Guest bedroom in Victorian home,191477,Caroline,,City of Santa Cruz,36.97774,-122.03403,Private room,99,2,547,2023-03-22,3.57,1,318,44,
54948,Modern Beach House,258675,Terry & Clint,,City of Santa Cruz,36.96788,-122.011841,Entire home/apt,335,7,123,2022-04-03,0.81,2,0,1,
57031,Sunny in nature quiet location,44764,Steven,,Unincorporated Areas,36.98111,-121.88124,Entire home/apt,155,10,1,2018-08-22,0.02,3,67,0,
70829,Master Bedroom w/ Soaker Tub,360285,Maisie,,City of Santa Cruz,36.97789,-122.02757,Private room,96,3,511,2023-03-25,3.45,1,40,52,
72288,Cottage on the Creek - Private Access to Creek!,366768,Cynthia,,Unincorporated Areas,37.08895,-122.04338,Entire home/apt,224,1,692,2023-03-12,4.72,1,225,30,
101755,Beautiful Family Home for Santa Cruz Vacation,532855,Daniel,,City of Santa Cruz,36.97732,-122.01147,Entire home/apt,499,7,16,2022-09-05,0.11,2,30,4,
126012,Santa Cruz Mtns. Dragonfly Cottage,625642,Mary Jane,,Unincorporated Areas,37.03277,-121.82554,Entire home/apt,170,1,633,2023-03-05,4.43,2,270,68,
