id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
879181,In Jimi Hendrix's neighborhood 3,287172,Laura,Central Area,Atlantic,47.60096,-122.3019,Private room,53,30,99,2022-12-16,0.80,2,247,4,STR-OPLI-19-002301
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,159,2022-09-03,0.95,3,99,2,str-opli-19-002622
902609,Entire guest suite in West Seattle,3264544,Fabio,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,70,2,238,2023-03-21,1.95,5,206,27,STR-OPLI-19-002360
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,55,2,175,2023-01-15,1.14,9,356,20,STR-OPLI-19-003039
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,61,1,316,2022-12-12,2.28,1,209,53,STR-OPLI-19-000684
226677,Sunny Parisian room w/ best cooling memoryfoam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,55,2,245,2023-03-11,1.77,9,363,51,STR-OPLI-19-003039
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,175,3,71,2022-12-28,0.52,2,228,11,STR-OPLI-19-002182
904057,Seattle Mini Home with Hot Tub and Private Deck,4678869,Errin,Ballard,West Woodland,47.66617,-122.36693,Entire home/apt,109,3,496,2023-03-20,4.04,1,274,40,STR-OPLI-19-000380
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,135,2,73,2023-03-09,0.54,2,231,13,STR-OPLI-19-002182
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,130,30,97,2020-09-28,0.68,3,65,0,STR -OPLI-19-002622
9909,Luna Lower - Friendly West Seattle Location,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,108,3,82,2023-02-06,0.50,10,136,4,STR-OPLI-19-000033
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57884,-122.41071,Entire home/apt,220,3,12,2020-01-03,0.21,1,277,0,STR-OPLI-21-001166
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,175,2,127,2023-01-22,1.12,3,274,16,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,98,3,328,2023-01-30,2.36,3,293,28,STR-OPLI-21-000431
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,95,30,161,2019-10-31,1.17,1,23,0,
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.65405,-122.33744,Entire home/apt,310,30,98,2021-03-22,0.61,3,112,0,str-opli-19-002622
942490,Charming Greenwood neighborhood flat,4705328,Lisa,Other neighborhoods,Greenwood,47.68726,-122.36279,Private room,87,2,132,2022-09-19,1.08,1,223,6,STR-OPLI-20-000322
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,83,2,972,2023-03-08,6.18,1,106,70,STR-OPLI-19-002617
260613,Charming Hideaway in North Ballard,1387754,Dot & Lucy,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,95,3,109,2023-03-13,0.81,1,329,11,STR-OPLI-19-003396
948077,THE COTTAGE a Capitol Hill oasis - Free parking,365687,Erik,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,152,2,481,2023-03-02,3.96,1,292,67,STR-OPLI-21-000042
278830,Shining Starlight house in Seattle,1452570,Emily,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,399,2,88,2022-12-28,0.68,4,86,8,STR-OPLI-19-002230
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,173,3,299,2022-12-15,2.22,1,246,33,STR-OPLI-19-002053
68508,"Private Entry 180º Views City, Mountains & Lake",340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,195,30,2,2023-02-28,0.12,2,75,1,STR-OPLI-19-002747
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,90,48,2022-03-26,0.34,1,0,1,
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,90,3,513,2023-03-18,3.58,2,290,50,STR-OPLI-19-000772
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,126,30,12,2021-02-12,0.09,1,281,0,
