id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2441,"Cozy Artist’s Abode, NE Mpls - Pets, Wifi, Roku TV",2680,Emily,,Hennepin,45.00862,-93.23424,Entire home/apt,91,28,298,2022-05-01,1.82,2,24,5,STR-111974
4534,"Charming, 1 or 2BR + private bath, near downtown",5811,Rachel,,Hennepin,44.94566,-93.35721,Private room,58,2,209,2022-11-13,1.34,2,350,18,
27319,"Parks, Lakes, Downtown, Light rail",117283,Keith,,Hennepin,44.92016,-93.22899,Private room,64,2,181,2022-08-07,1.19,2,356,2,Exempt
82439,Rest and Rehearsal Space,117283,Keith,,Hennepin,44.91995,-93.23011,Private room,64,2,49,2023-01-16,0.34,2,356,19,Exempt
101034,★ParkFront ★ Walk 2 Downtown ★ Bike Score 98★,529956,MPLSvr Angie,,Hennepin,44.98712,-93.25188,Entire home/apt,167,30,112,2020-01-29,0.85,4,120,0,
166024,Luxury 5500 Sq ft  Executive Home,746911,Marcel,,Hennepin,44.98197,-93.3628,Entire home/apt,438,3,37,2023-01-02,1.47,1,213,21,
166927,Victory Memorial Pkwy Tudor home close to downtown,795329,Shannyn,,Hennepin,45.01615,-93.31824,Private room,125,2,44,2016-01-21,0.34,1,178,0,
176709,"Private Bedroom, Walk to Saint Paul Campus!",688403,Delia,,Ramsey,44.97611,-93.18981,Private room,75,2,29,2022-10-08,0.24,3,334,5,20180004569
178017,Powderhorn home - sleeps four,540710,Leticia,,Hennepin,44.9436,-93.24872,Entire home/apt,70,30,28,2023-01-02,0.28,1,7,3,STR-400618
195230,Victorian on transit line. Your own private floor.,949211,Lydia,,Ramsey,44.94723,-93.17278,Private room,48,1,316,2023-03-06,5.06,2,162,74,20180002551
259668,★Skyline Views!★New House by DT★Great For Groups★,529956,MPLSvr Angie,,Hennepin,44.99139,-93.23529,Entire home/apt,229,30,45,2019-08-25,0.34,4,0,0,
317499,The Manor Master Chamber,1233357,Sean,,Ramsey,44.96943,-93.11304,Private room,90,1,269,2022-08-29,2.01,2,5,9,20170004727
322640,"Charming, sweet Uptown Minneapolis apartment!",119095,Alison,,Hennepin,44.94304,-93.29558,Entire home/apt,102,5,217,2023-01-22,1.61,1,296,26,LIC-366859
482236,The Manor Guest Bedroom,1233357,Sean,,Ramsey,44.96969,-93.11154,Private room,80,1,179,2022-03-30,1.36,2,0,1,20170004727
505750,Linden Hills 4-BR/3-bath home,1950187,Katie,,Hennepin,44.9307,-93.31085,Entire home/apt,275,2,228,2022-09-11,2.27,3,1,3,lic-114245
544048,Bungalow45 | 3 bedroom Cozy Retreat,937861,Jennie And Henry,,Hennepin,44.91917,-93.27163,Entire home/apt,140,2,179,2023-03-07,1.38,1,212,46,STR-376235
609640,BEAUTIFUL LAKE HARRIET CONDO #106,3022975,Janene,,Hennepin,44.9243,-93.31249,Entire home/apt,55,30,10,2023-02-26,0.21,5,91,4,
697236,Beautiful House rental,3505142,Tang,,Hennepin,44.87676,-93.28388,Private room,40,1,68,2020-02-01,0.54,1,255,0,
741701,Linden Hills Guest Home,3882563,Julie,,Hennepin,44.91973,-93.32255,Entire home/apt,129,2,84,2022-08-13,0.74,1,42,9,STR-380293
