id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86314,-76.98836,Private room,55,2,72,2020-04-01,0.60,2,365
3943,Historic Rowhouse Near Monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91066,-77.00438,Private room,80,27,429,2018-08-07,3.10,2,101
4197,Bedroom in DC 2 blocks to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88791,-76.99668,Private room,76,28,45,2020-03-14,0.33,2,324
4967,"DC, Near Metro",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91263,-76.99221,Private room,99,2,31,2016-09-22,0.26,3,83
5589,Cozy apt in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91933,-77.04124,Entire home/apt,76,7,95,2020-03-05,0.71,2,109
7103,"Best of Washington - Great neighborhood, parking",17633,Charlotte (& Anna-Regina),,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91988,-77.09796,Entire home/apt,106,3,90,2020-06-30,5.43,48,0
9097,Adams Morgan Charm,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91966,-77.04306,Private room,42,2,112,2019-10-30,0.84,2,20
9641,Sophisticated Logan Circle Loft,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.91146,-77.03636,Entire home/apt,185,2,153,2020-02-16,1.20,2,83
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92828,-77.07638,Entire home/apt,101,1,391,2020-08-11,3.00,4,276
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92744,-77.07496,Private room,69,1,94,2020-08-16,0.73,4,365
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,100,30,25,2020-02-16,0.20,1,294
13824,Natural Setting in DC,54317,Chris & Erin,,"Brightwood Park, Crestwood, Petworth",38.95845,-77.03764,Entire home/apt,80,2,168,2020-09-07,1.28,1,306
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.927,-77.07645,Private room,69,1,100,2020-08-20,1.54,4,0
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92708,-77.0768,Private room,69,1,82,2020-04-13,0.64,4,365
20067,Embassy Row /Glover Park,75938,Marie,,"Cathedral Heights, McLean Gardens, Glover Park",38.92466,-77.06834,Private room,51,3,120,2020-09-08,0.94,1,71
22453,Elegant Logan Circle Loft Share,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.90933,-77.03484,Shared room,90,2,97,2020-03-10,0.76,2,88
25243,The Smithsonian Vacation House,104340,Wavely,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88107,-77.01891,Entire home/apt,379,1,24,2020-02-16,0.34,2,361
26147,Beautiful Cozy Full  Bed Room,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95313,-77.03583,Private room,41,28,9,2018-08-20,0.07,1,365
27281,Capitol Hill H Street 1BR Apt :),117099,Stephen,,"Union Station, Stanton Park, Kingman Park",38.90254,-76.99257,Entire home/apt,645,3,15,2016-07-14,0.12,1,364
32087,American Guest House - Room 301,138459,L,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,259,1,15,2020-03-04,0.14,12,331
32584,Downtown DC Private Carriage House,29711,The Remuzzi Brothers,,"Shaw, Logan Circle",38.91139,-77.0208,Entire home/apt,101,2,600,2020-09-06,4.80,2,305
54112,"Luxury DC Apt. Downtown, Logan Circle, 14th Street",253258,Daryl,,"Dupont Circle, Connecticut Avenue/K Street",38.91168,-77.03501,Entire home/apt,195,3,154,2020-03-14,1.28,1,361
65024,"Nice looking large room on Rhodeisland avenue, nw",315148,John,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9165,-77.01028,Private room,35,28,8,2020-06-30,0.19,28,343
67483,Charming B & B in Columbia Heights,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93375,-77.02924,Entire home/apt,99,6,155,2019-12-15,1.32,1,365
72454,Modern Charm,100727,Capital Vacation,,"Brightwood Park, Crestwood, Petworth",38.94684,-77.02294,Entire home/apt,214,4,166,2020-09-07,1.43,3,344
78264,Room for 2 with private bathroom,420345,Caterina & Francesco,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91573,-77.00721,Private room,66,1,35,2019-09-28,0.36,1,365
79866,"DC, Near Metro III",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90476,-76.98492,Private room,99,2,10,2016-08-27,0.09,3,82
79867,"DC, Near Metro II",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90467,-76.98627,Private room,99,2,10,2016-09-30,0.09,3,82
93551,Upscale Master Close to Everything,481929,Chris,,"Shaw, Logan Circle",38.91235,-77.01873,Private room,80,3,101,2019-09-25,0.88,4,365
107801,Heart of D.C. near Union Station!!,445901,DeeDee,,"Union Station, Stanton Park, Kingman Park",38.89768,-76.97113,Entire home/apt,140,2,13,2017-08-09,0.18,1,78
116951,Upscale Private Close to Everything,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91703,-77.01672,Private room,67,10,80,2019-11-06,2.27,4,365
124030,Modern Townhouse with Large Backyard!,614408,Adam,,"Shaw, Logan Circle",38.91409,-77.02484,Entire home/apt,150,2,7,2019-04-08,0.09,1,0
136400,"Sunny Happy Home, Walk to Metro",667695,Robin,,"Friendship Heights, American University Park, Tenleytown",38.95126,-77.08569,Entire home/apt,188,3,9,2019-12-29,0.09,1,264
145726,Luraloft / Entire Apt,88147938,Adia,,"Brightwood Park, Crestwood, Petworth",38.94934,-77.02295,Entire home/apt,80,5,104,2020-03-19,0.92,1,341
150109,Great apartment in perfect location,723470,Steffanie,,"Dupont Circle, Connecticut Avenue/K Street",38.915,-77.03853,Entire home/apt,135,3,29,2019-10-13,0.27,1,263
153545,Guest Room 3 miles to the White House,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94437,-77.04345,Private room,48,30,35,2016-12-20,0.32,5,335
155859,"~Guest Room, Breakfast, Coffee, Cava & Herb Garden",745305,Larry And Paulette,,"Takoma, Brightwood, Manor Park",38.96648,-77.03228,Private room,65,3,130,2019-10-28,1.16,2,51
160148,"Dupont room; TemPurpedic bed, 3 min 2 metro",767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,Private room,309,30,2,2015-05-20,0.02,4,365
161913,X-tra large suite;3 min Wlk 2 Metro,767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,Private room,99,30,10,2019-07-12,0.33,4,0
164069,Historic Rowhouse Near Monuments 2,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91374,-77.00861,Private room,80,27,195,2017-08-20,1.74,2,101
174808,Historic American Four Square,835242,Jeffrey,,Historic Anacostia,38.86427,-76.98934,Private room,75,2,38,2019-11-24,0.70,3,0
178395,"Spare Room for Washington,DC Visit or entire house",852801,Allison,,"Takoma, Brightwood, Manor Park",38.96234,-77.01735,Private room,399,1,0,,,2,365
