Name,latitude,longitude,Type,Price,Reviews,city,Popularity
Stay-Awhile  at Lovers Pt. Pacific Grv,36.62258,-121.9168,Entire Home,163,68,Pacific Grove,Extremely Popular
Ocean front 6-bedroom masterpiece,36.63242,-121.93791,Entire Home,1200,97,Pacific Grove,Extremely Popular
Pet-Friendly* Cottage Near Beach for 30+ day stays,36.62475,-121.93491,Entire Home,188,950,Pacific Grove,Extremely Popular
"Top Rated,Ocean View,Spa,Fireplace",36.60324,-121.92723,Entire Home,500,236,Pacific Grove,Extremely Popular
Ocean View Townhome at Lover's Pt.,36.62367,-121.91559,Entire Home,297,246,Pacific Grove,Extremely Popular
Beautiful Villa With Ocean View,36.62455,-121.9166,Entire Home,416,179,Pacific Grove,Extremely Popular
John Steinbeck's Cottage 30-Night Minimum Stay,36.61458,-121.91033,Entire Home,100,218,Pacific Grove,Extremely Popular
Aspen Room at Asilomar Beach License # 0450,36.61667,-121.93354,Private Room,103,142,Pacific Grove,Extremely Popular
Modern Beach House,36.63256,-121.92525,Private Room,215,373,Pacific Grove,Extremely Popular
Lovely House in Pacific Grove (Long term rental),36.60527,-121.92805,Entire Home,264,469,Pacific Grove,Extremely Popular
The Monarch Home - Cozy & Relaxing,36.62322,-121.92883,Entire Home,125,450,Pacific Grove,Extremely Popular
The Little Blue House,36.62156,-121.92043,Entire Home,180,566,Pacific Grove,Extremely Popular
760 Ocean View at Lovers Point Park,36.62721,-121.91984,Entire Home,591,36,Pacific Grove,High
Peaceful in Pacific Grove. Close to beach & town,36.61507,-121.92261,Private Room,108,49,Pacific Grove,High
Peaceful Cozy Beach Cottage,36.63193,-121.92454,Entire Home,194,380,Pacific Grove,Extremely Popular
"Penthouses Walk to Beach, 4 Aquarium Passes",36.61945,-121.91409,Entire Home,689,38,Pacific Grove,High
Little Lighthouse — Ocean views & close to town!,36.61859,-121.91086,Entire Home,232,184,Pacific Grove,Extremely Popular
Lighthouse Cottage—Ocean Views & Close to town,36.61955,-121.90999,Entire Home,349,283,Pacific Grove,Extremely Popular
Pacific Grove Craftsman Getaway with Breakfast,36.61584,-121.91631,Private Room,151,592,Pacific Grove,Extremely Popular
Walk to Asilomar,36.62505,-121.92662,Entire Home,120,107,Pacific Grove,Extremely Popular
Peaceful Space near DLI + Cannery Row,36.61494,-121.91549,Private Room,122,235,Pacific Grove,Extremely Popular
Rustic Cottage Home Pacific Grove(LIC#0443),36.59976,-121.93263,Entire Home,246,24,Pacific Grove,High
Heritage Home,36.62171,-121.92175,Entire Home,195,16,Pacific Grove,Average
"~Charming Cottage, Walk to town & Beaches~",36.62134,-121.92599,Entire Home,175,88,Pacific Grove,Extremely Popular
Driftwood Cottage,36.62143,-121.92013,Entire Home,85,127,Pacific Grove,Extremely Popular
#JewelboxCottages*Courtyard*Firepit*Pergola*Grill*,36.61617,-121.91343,Entire Home,228,126,Pacific Grove,Extremely Popular
Victorian Retreat,36.614,-121.91174,Private Room,200,0,Pacific Grove,New Listing
COMFORTABLE HISTORIC COTTAGE,36.62214,-121.92687,Entire Home,198,266,Pacific Grove,Extremely Popular
Gable Room - Seven Gables Boutique Hotel,36.62417,-121.91495,Private Room,302,9,Pacific Grove,Average
Bungalow-by-the-Sea,36.62399,-121.92089,Entire Home,383,94,Pacific Grove,Extremely Popular
Historic Stylish Beach House,36.62154,-121.915,Entire Home,251,154,Pacific Grove,Extremely Popular
Steps away from Lover's Point beach,36.62571,-121.9174,Entire Home,112,144,Pacific Grove,Extremely Popular
Beautiful Home Beach/Forest Area,36.62111,-121.92793,Entire Home,135,106,Pacific Grove,Extremely Popular
Comfortable Home near Pebble Beach & Asilomar,36.60432,-121.92774,Entire Home,305,43,Pacific Grove,High
1/2 Block to Ocean-Sea View Cottage: 2 Bedroom House - Seven Gables Boutique Hotel,36.62359,-121.91602,Entire Home,526,16,Pacific Grove,Average
Nice 1 bedroom apt with pool,36.60612,-121.92478,Entire Home,89,0,Pacific Grove,New Listing
Bright Family Home Near Asilomar Beach & Park 0318,36.61622,-121.92902,Entire Home,80,7,Pacific Grove,Average
Chautauqua Room - Seven Gables Boutique Hotel-ADA Room,36.62308,-121.91653,Private Room,260,16,Pacific Grove,Average
Romantic Private  Master Suite & Gardens #0427,36.63415,-121.92424,Private Room,276,28,Pacific Grove,High
Quaint Pacific Grove/Pebble Beach,36.61561,-121.9253,Private Room,106,494,Pacific Grove,Extremely Popular
Charming Victorian Home Near Beach,36.62533,-121.91879,Entire Home,398,88,Pacific Grove,Extremely Popular
Cottage Retreat Steps from the Sea,36.6221,-121.91186,Entire Home,282,296,Pacific Grove,Extremely Popular
Guest House 5 minutes to Asilomar and Pebble Beach,36.62257,-121.93442,Entire Home,195,53,Pacific Grove,High
Dolphin House *30 day minimum stay* great location,36.61868,-121.91081,Entire Home,135,114,Pacific Grove,Extremely Popular
Pacific Grove/Pebble Beach/Monterey/Carmel,36.62707,-121.93199,Entire Home,300,186,Pacific Grove,Extremely Popular
No shared space! Private Room/bathroom! PGLic#0405,36.60383,-121.9271,Entire Home,126,494,Pacific Grove,Extremely Popular
Charming Cottage near Downtown and the Beach,36.62129,-121.92106,Entire Home,240,254,Pacific Grove,Extremely Popular
Pet friendly Forest and Sea Cottage Lic.#0358,36.61788,-121.93064,Entire Home,110,223,Pacific Grove,Extremely Popular
Central to Everything - Casa Mariposa,36.62024,-121.9277,Entire Home,325,34,Pacific Grove,High
Heart of PG Cottage,36.62133,-121.92038,Entire Home,268,271,Pacific Grove,Extremely Popular
PRE CHRISTMAS SPECIAL! Great Townhouse near Beach!,36.62947,-121.93017,Entire Home,201,0,Pacific Grove,New Listing
Ocean View At Lovers Point Mermaid Cottage #02204128,36.62788,-121.92064,Entire Home,115,30,Pacific Grove,High
"Lovers Point Beach House, Perfect Location #0125",36.62332,-121.91632,Entire Home,559,30,Pacific Grove,High
Ocean Front  on Ocean View Blvd,36.63657,-121.93002,Entire Home,210,116,Pacific Grove,Extremely Popular
Gorgeous View of Ocean and Golf Course,36.6355,-121.9299,Entire Home,243,0,Pacific Grove,New Listing
Beach Cottage Currently unavailable.,36.61465,-121.9131,Private Room,40,19,Pacific Grove,High
Adorable Sea House,36.61981,-121.90727,Entire Home,496,78,Pacific Grove,Extremely Popular
Asilomar Ocean Retreat,36.62112,-121.93366,Entire Home,419,22,Pacific Grove,High
"Pacific Grove Cottage, Entire House [30 days min]",36.62174,-121.92462,Entire Home,197,44,Pacific Grove,High
Pacific Grove Mid Century Near Beach,36.62243,-121.92963,Entire Home,288,197,Pacific Grove,Extremely Popular
Rosie's View,36.62613,-121.92126,Entire Home,284,176,Pacific Grove,Extremely Popular
Monarch Garden Cottage (30 day rental),36.61831,-121.90986,Entire Home,60,52,Pacific Grove,High
Pacific Grove Post-Adobe Cozy Charmer 2/1 #0387,36.60666,-121.92253,Entire Home,225,153,Pacific Grove,Extremely Popular
Laurel Cottage,36.61942,-121.92081,Entire Home,105,167,Pacific Grove,Extremely Popular
Long term/month to month Cottage In Pacific Grove,36.61682,-121.92482,Entire Home,100,0,Pacific Grove,New Listing
"Mermaid Beach House, Walk to Beach / Aquarium!",36.62603,-121.91822,Entire Home,492,139,Pacific Grove,Extremely Popular
Your perfect month-long vacation getaway,36.62673,-121.92409,Entire Home,249,69,Pacific Grove,Extremely Popular
Outback Bungalow,36.62346,-121.92109,Entire Home,332,106,Pacific Grove,Extremely Popular
Bright room with loft,36.6172,-121.9201,Private Room,80,17,Pacific Grove,High
3743 Pelican Peaks ~ Summer Is Here - Check Out These Great Rates!,36.61962,-121.90912,Entire Home,430,5,Pacific Grove,Average
3746 The Guest House ~ Summer Is Here - Check Out These Great Rates!,36.62026,-121.91007,Entire Home,170,6,Pacific Grove,Average
3729 Ocean Park Sanctuary ~ Summer Is Here - Check Out These Great Rates!,36.61915,-121.92051,Entire Home,208,8,Pacific Grove,Average
3704 Ship's Watch ~ Summer Is Here - Check Out These Great Rates!,36.62123,-121.92084,Entire Home,189,16,Pacific Grove,Average
3715 - Bliss by the Sea ~ Summer Is Here - Check Out These Great Rates!,36.61836,-121.90931,Entire Home,189,7,Pacific Grove,Average
